Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stackje01,33:00,9,30,.300,1,7,.143,13,15,.867,2,1,3,4,5,0,2,0,32,-22
atkinch01,33:00,6,13,.462,1,4,.250,3,3,1.000,1,1,2,4,1,0,2,0,16,-15
wallabe01,32:00,4,7,.571,0,0,,0,2,.000,9,4,13,1,1,1,1,1,8,-13
currymi01,27:00,4,7,.571,0,0,,2,2,1.000,0,1,1,3,1,0,2,3,10,-1
montrer01,20:00,0,5,.000,0,0,,1,4,.250,2,3,5,1,0,1,0,2,1,-13
buechju01,23:00,2,4,.500,2,4,.500,0,0,,0,2,2,4,1,0,0,1,6,-4
cleavma01,22:00,4,7,.571,0,0,,3,4,.750,2,1,3,3,1,0,1,3,11,-7
willije01,16:00,4,7,.571,0,0,,0,2,.000,2,2,4,1,0,0,0,0,8,-6
cebalce01,13:00,1,5,.200,0,3,.000,2,2,1.000,1,1,2,1,0,1,1,3,4,-8
mooremi01,12:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,2,2,0,+2
wallajo01,9:00,1,4,.250,0,0,,0,0,,1,2,3,1,0,0,0,0,2,-8
Team Totals,240,35,90,.389,4,18,.222,24,34,.706,20,19,39,23,10,4,11,15,98,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millean02,44:00,6,11,.545,0,1,.000,1,2,.500,0,4,4,17,2,1,3,4,13,+17
murrala01,29:00,7,14,.500,2,2,1.000,0,0,,3,2,5,1,1,0,2,3,16,+14
weathcl01,23:00,5,8,.625,0,0,,0,0,,0,6,6,0,1,1,2,0,10,+4
harprma01,21:00,4,7,.571,0,0,,0,0,,2,2,4,4,0,0,3,4,8,-7
ilgauzy01,20:00,2,4,.500,0,0,,2,4,.500,4,3,7,3,0,2,2,2,6,+9
langdtr01,35:00,11,13,.846,6,6,1.000,3,3,1.000,0,4,4,4,2,0,1,4,31,+16
traylro01,24:00,6,9,.667,0,0,,3,4,.750,3,2,5,3,0,4,2,3,15,+17
gatlich01,23:00,3,11,.273,1,3,.333,1,2,.500,1,8,9,2,0,3,1,1,8,+14
hendece02,18:00,4,5,.800,0,0,,0,0,,0,2,2,4,0,0,1,3,8,+15
mihmch01,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-4
Team Totals,240,49,83,.590,9,12,.750,10,15,.667,13,33,46,38,6,11,18,24,117,
