Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jacksma01,37:00,5,13,.385,1,3,.333,2,2,1.000,1,4,5,9,0,0,3,0,13,-7
oaklech01,37:00,2,7,.286,0,3,.000,5,6,.833,2,12,14,5,1,2,4,3,9,-6
willico02,36:00,9,19,.474,0,2,.000,4,6,.667,5,5,10,0,0,0,2,5,22,-6
davisan01,35:00,7,10,.700,0,0,,2,3,.667,4,7,11,2,0,0,3,4,16,0
curryde01,31:00,3,11,.273,1,2,.500,2,2,1.000,0,3,3,2,0,0,0,2,9,-6
willike02,24:00,5,6,.833,0,0,,2,2,1.000,1,4,5,0,0,1,1,2,12,-22
willial02,21:00,0,4,.000,0,0,,2,2,1.000,0,0,0,2,1,0,2,2,2,-11
petermo01,19:00,4,10,.400,0,3,.000,2,2,1.000,2,1,3,2,1,0,1,3,10,-12
Team Totals,240,35,80,.438,2,13,.154,21,25,.840,15,36,51,22,3,3,16,21,93,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
finlemi01,46:00,16,29,.552,0,1,.000,0,0,,4,1,5,3,0,2,1,2,32,+13
nowitdi01,41:00,5,14,.357,4,10,.400,5,5,1.000,0,4,4,2,1,1,0,4,19,+16
nashst01,40:00,9,16,.563,1,3,.333,2,2,1.000,1,5,6,10,2,0,2,1,21,+9
davishu01,39:00,3,6,.500,1,3,.333,4,5,.800,0,4,4,5,1,0,0,2,11,+1
laettch01,10:00,1,5,.200,0,0,,0,0,,0,3,3,0,0,0,1,1,2,-12
bradlsh01,22:00,2,7,.286,0,0,,5,7,.714,2,5,7,0,1,1,0,4,9,+19
eisleho01,20:00,3,6,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,2,6,+17
vaughlo01,19:00,1,5,.200,0,0,,1,1,1.000,1,6,7,0,0,0,1,1,3,+4
najered01,3:00,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,0,1,4,+3
Team Totals,240,42,91,.462,6,18,.333,17,20,.850,10,29,39,21,5,4,5,18,107,
