Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iversal01,37:00,10,21,.476,2,6,.333,5,6,.833,0,7,7,1,3,0,1,4,27,+34
snower01,37:00,3,6,.500,0,0,,0,0,,0,2,2,11,3,0,1,2,6,+24
kukocto01,29:00,5,7,.714,0,0,,0,3,.000,2,4,6,4,0,0,2,3,10,+16
lynchge01,28:00,3,4,.750,0,0,,3,4,.750,3,3,6,1,2,0,1,2,9,+16
ratlith01,26:00,4,7,.571,0,0,,4,4,1.000,3,3,6,1,1,7,2,0,12,+25
mckieaa01,28:00,4,5,.800,0,0,,1,2,.500,0,6,6,8,0,0,1,1,9,+24
maccuto01,18:00,4,5,.800,0,0,,6,8,.750,1,5,6,0,0,3,1,1,14,+16
jonesju01,16:00,1,4,.250,0,0,,1,2,.500,1,4,5,1,0,0,1,1,3,+3
geigema01,15:00,6,12,.500,0,0,,3,4,.750,1,1,2,2,0,0,0,3,15,+13
mohamna01,6:00,3,7,.429,0,0,,1,3,.333,0,1,1,0,0,0,1,2,7,-1
Team Totals,240,43,78,.551,2,6,.333,24,36,.667,11,36,47,29,9,10,11,19,112,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millean02,43:00,5,17,.294,0,1,.000,0,0,,2,4,6,5,1,0,1,2,10,-34
weathcl01,27:00,3,8,.375,0,0,,2,2,1.000,5,4,9,2,0,0,1,2,8,-14
murrala01,25:00,2,8,.250,0,1,.000,5,6,.833,3,1,4,0,0,0,1,1,9,-18
harprma01,24:00,3,11,.273,1,3,.333,2,2,1.000,1,1,2,4,2,0,1,2,9,-13
ilgauzy01,19:00,4,12,.333,0,0,,1,1,1.000,3,2,5,0,0,0,2,2,9,-18
langdtr01,26:00,4,6,.667,1,1,1.000,1,2,.500,0,1,1,1,0,1,2,4,10,-26
mihmch01,21:00,1,5,.200,0,0,,2,2,1.000,1,1,2,0,0,2,2,2,4,0
gatlich01,19:00,6,11,.545,1,2,.500,0,2,.000,3,4,7,1,1,1,0,1,13,-16
hendece02,17:00,0,3,.000,0,0,,2,2,1.000,0,3,3,4,0,2,3,3,2,-3
traylro01,10:00,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,1,4,2,-20
persowe01,9:00,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,-8
Team Totals,240,30,90,.333,3,9,.333,15,19,.789,19,25,44,17,4,6,14,23,78,
