Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
robingl01,39:00,11,20,.550,1,3,.333,4,5,.800,2,5,7,4,1,0,5,1,27,+9
allenra02,37:00,10,16,.625,4,7,.571,6,7,.857,0,5,5,1,1,0,2,2,30,+18
cassesa01,33:00,6,12,.500,0,2,.000,1,2,.500,0,3,3,14,1,0,3,3,13,+15
caffeja01,21:00,3,3,1.000,0,0,,3,4,.750,0,5,5,1,1,1,2,2,9,+5
popema01,21:00,3,4,.750,0,0,,1,1,1.000,1,2,3,1,0,1,0,1,7,+23
hunteli01,22:00,4,11,.364,2,5,.400,0,0,,1,1,2,4,1,0,2,1,10,+11
thomati01,21:00,1,5,.200,0,1,.000,3,3,1.000,2,2,4,1,1,1,4,6,5,+7
johnser02,20:00,1,1,1.000,0,0,,0,0,,3,4,7,1,0,0,0,1,2,-2
willisc01,18:00,2,5,.400,1,1,1.000,1,2,.500,3,4,7,2,2,0,0,4,6,+20
przybjo01,4:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,+2
alstora01,4:00,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,+2
Team Totals,240,41,78,.526,8,20,.400,19,24,.792,13,32,45,31,8,3,19,21,109,
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
williaa01,40:00,7,13,.538,0,0,,3,3,1.000,5,4,9,3,0,2,2,3,17,-20
douglsh01,37:00,5,12,.417,0,0,,8,12,.667,0,1,1,7,2,0,2,1,18,-14
martike01,37:00,7,14,.500,0,0,,3,6,.500,2,5,7,4,1,0,4,3,17,-20
harrilu01,25:00,3,10,.300,2,4,.500,1,3,.333,1,2,3,3,2,0,1,1,9,-17
mcilvji01,23:00,1,3,.333,0,0,,0,0,,0,2,2,0,0,1,0,3,2,-7
jacksst02,25:00,4,10,.400,2,5,.400,0,0,,1,3,4,4,1,0,2,1,10,-12
newmajo01,23:00,1,7,.143,1,2,.500,4,4,1.000,2,1,3,2,2,1,0,3,7,-5
ollieke01,11:00,0,2,.000,0,0,,3,4,.750,0,0,0,3,0,0,1,0,3,-8
eschmev01,11:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,3,2,-11
samakso01,8:00,1,3,.333,0,0,,0,0,,0,2,2,0,0,2,0,0,2,+4
Team Totals,240,30,75,.400,5,11,.455,22,32,.688,11,21,32,26,8,6,12,18,87,
