Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millere01,45:00,7,13,.538,1,3,.333,5,6,.833,0,4,4,5,0,1,1,3,20,-6
roseja01,43:00,12,26,.462,1,4,.250,6,7,.857,1,4,5,4,1,0,2,4,31,+6
onealje01,38:00,11,18,.611,0,0,,8,10,.800,2,7,9,0,0,2,3,5,30,+9
harrial01,32:00,2,9,.222,0,0,,0,2,.000,2,3,5,4,0,0,1,1,4,-2
fosteje01,25:00,1,3,.333,0,0,,0,2,.000,4,4,8,2,1,1,1,4,2,-7
besttr01,38:00,4,9,.444,0,0,,3,5,.600,0,2,2,13,1,0,1,5,11,-5
tabakza01,26:00,3,4,.750,0,0,,0,0,,2,4,6,0,0,1,1,4,6,+4
croshau01,17:00,2,3,.667,1,1,1.000,1,1,1.000,0,0,0,1,1,0,5,5,6,-7
mckeyde01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Team Totals,265,42,85,.494,3,8,.375,23,33,.697,11,28,39,29,4,5,15,31,110,
Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
szczewa02,48:00,4,11,.364,0,2,.000,4,4,1.000,1,5,6,5,2,0,1,2,12,+15
garneke01,46:00,12,25,.480,0,0,,10,12,.833,4,16,20,5,1,1,4,4,34,+4
brandte01,43:00,5,17,.294,1,2,.500,5,5,1.000,1,0,1,8,1,1,2,1,16,+4
billuch01,31:00,6,10,.600,1,2,.500,3,4,.750,0,2,2,5,0,0,1,4,16,+2
garrede01,13:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-12
ellisla01,35:00,3,6,.500,0,0,,8,8,1.000,3,5,8,2,1,0,1,6,14,-1
peelean01,33:00,4,7,.571,0,2,.000,4,4,1.000,0,4,4,4,1,1,1,4,12,+2
nestera01,12:00,3,5,.600,0,0,,0,0,,0,0,0,0,0,0,4,4,6,+4
mitchsa01,3:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,1,0,0,2,-7
hammoto01,1:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,+4
Team Totals,265,38,82,.463,2,8,.250,35,39,.897,9,32,41,31,6,4,14,29,113,
