Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
malonka01,35:00,7,18,.389,0,0,,5,5,1.000,0,6,6,4,2,1,3,4,19,-1
stockjo01,32:00,8,10,.800,0,0,,5,5,1.000,2,2,4,9,2,0,3,1,21,+19
russebr01,32:00,3,9,.333,0,0,,12,12,1.000,0,5,5,2,3,0,4,1,18,+2
starkjo01,29:00,2,4,.500,0,1,.000,1,2,.500,0,1,1,1,0,0,1,0,5,-20
polynol01,22:00,2,5,.400,0,0,,0,0,,1,3,4,1,0,0,0,3,4,-19
marshdo01,29:00,5,9,.556,0,1,.000,3,5,.600,1,5,6,1,0,0,1,0,13,+20
mannida01,25:00,4,6,.667,0,0,,2,2,1.000,1,4,5,3,3,0,1,5,10,+27
vaughja01,16:00,1,6,.167,0,0,,0,0,,1,0,1,4,0,0,3,1,2,-13
ostergr01,8:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0,+5
stevede01,7:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,4,+8
benoida01,5:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,+2
Team Totals,240,34,69,.493,0,2,.000,30,33,.909,6,27,33,26,10,2,18,19,98,
Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
garneke01,37:00,9,20,.450,0,1,.000,2,4,.500,2,7,9,5,2,4,5,1,20,-1
brandte01,37:00,8,16,.500,1,3,.333,2,2,1.000,2,0,2,9,4,0,2,5,19,-8
szczewa02,30:00,6,11,.545,0,2,.000,1,3,.333,2,4,6,4,0,0,2,5,13,-13
billuch01,22:00,0,4,.000,0,2,.000,0,0,,0,1,1,3,2,0,1,2,0,-4
garrede01,17:00,4,6,.667,0,0,,1,2,.500,2,2,4,0,1,0,0,2,9,+15
peelean01,26:00,4,6,.667,0,0,,0,0,,1,1,2,6,1,0,2,3,8,-4
ellisla01,25:00,2,7,.286,0,0,,5,6,.833,5,2,7,0,0,0,2,2,9,-22
nestera01,19:00,1,4,.250,0,0,,1,2,.500,1,3,4,0,2,3,1,3,3,-9
mitchsa01,16:00,3,10,.300,0,1,.000,0,0,,1,1,2,1,0,0,1,3,6,+14
averywi01,11:00,2,3,.667,1,1,1.000,0,0,,0,3,3,0,0,0,2,1,5,+2
Team Totals,240,39,87,.448,2,10,.200,12,19,.632,16,24,40,28,12,7,18,27,92,
