Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walkean02,45:00,16,29,.552,9,14,.643,6,10,.600,0,5,5,13,4,1,5,3,47,-5
stithbr01,42:00,8,14,.571,1,2,.500,0,0,,1,4,5,3,1,1,2,4,17,+2
brownra02,37:00,4,6,.667,0,0,,0,0,,1,4,5,9,3,1,1,1,8,-5
piercpa01,33:00,8,18,.444,1,3,.333,1,2,.500,3,3,6,1,1,1,1,5,18,-12
blounma01,24:00,1,3,.333,0,0,,0,0,,0,3,3,0,1,3,2,3,2,-7
potapvi01,24:00,2,5,.400,0,0,,0,0,,1,1,2,1,0,0,0,1,4,+2
willier01,21:00,1,5,.200,1,2,.500,5,6,.833,2,1,3,2,1,1,1,2,8,0
palacmi01,11:00,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,2,0,2,0
moisoje01,3:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,0
Team Totals,240,41,81,.506,12,21,.571,12,18,.667,8,24,32,30,13,8,15,20,106,
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stojape01,45:00,10,20,.500,3,6,.500,3,4,.750,1,5,6,3,2,0,1,4,26,+10
divacvl01,42:00,4,9,.444,0,1,.000,4,4,1.000,3,8,11,7,1,3,6,1,12,+5
webbech01,38:00,14,21,.667,0,1,.000,2,4,.500,4,5,9,4,2,5,4,4,30,+6
willija02,35:00,6,9,.667,5,8,.625,0,0,,2,2,4,8,3,0,4,1,17,+5
barryjo01,27:00,5,11,.455,3,7,.429,0,0,,0,1,1,4,0,0,1,0,13,-5
turkohe01,27:00,2,4,.500,1,2,.500,1,1,1.000,0,3,3,3,0,1,0,2,6,+11
pollasc01,13:00,2,3,.667,0,0,,1,1,1.000,0,1,1,1,0,0,0,5,5,-7
jacksbo01,13:00,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,2,0
Team Totals,240,44,79,.557,12,25,.480,11,14,.786,10,26,36,31,8,9,17,17,111,
