Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
marshdo01,28:00,8,12,.667,0,0,,1,3,.333,4,4,8,3,2,0,4,2,17,-15
malonka01,26:00,5,14,.357,0,0,,5,5,1.000,1,3,4,2,0,0,0,1,15,-17
starkjo01,22:00,3,5,.600,2,3,.667,2,2,1.000,0,2,2,3,1,0,1,2,10,-4
polynol01,20:00,3,8,.375,0,0,,0,0,,2,2,4,1,1,1,0,6,6,-11
stockjo01,19:00,2,3,.667,0,0,,0,0,,0,0,0,6,0,0,2,3,4,-14
vaughja01,26:00,4,13,.308,2,4,.500,0,2,.000,1,2,3,5,2,0,1,1,10,-9
ostergr01,25:00,0,4,.000,0,0,,0,0,,3,3,6,1,1,0,1,5,0,-12
lewisqu01,20:00,4,8,.500,0,0,,0,0,,1,1,2,1,0,0,0,3,8,-7
padgesc01,17:00,1,3,.333,0,0,,2,2,1.000,1,2,3,2,0,0,0,2,4,+4
mannida01,13:00,3,6,.500,0,0,,2,2,1.000,0,1,1,0,0,0,3,3,8,-8
russebr01,12:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,-24
crottjo01,12:00,1,5,.200,0,1,.000,0,0,,0,2,2,1,0,0,0,1,2,+2
Team Totals,240,34,82,.415,4,8,.500,14,18,.778,13,23,36,25,7,1,12,30,86,
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
francst01,35:00,8,14,.571,0,4,.000,2,2,1.000,1,5,6,9,2,1,0,2,18,+17
andersh01,29:00,5,10,.500,1,3,.333,4,8,.500,0,2,2,1,3,0,2,3,15,+2
moblecu01,29:00,3,9,.333,2,5,.400,3,3,1.000,0,4,4,4,1,0,3,3,11,+17
catoke01,25:00,3,4,.750,0,0,,4,5,.800,0,3,3,0,0,2,1,0,10,0
tayloma01,12:00,1,2,.500,0,0,,2,2,1.000,0,2,2,1,0,0,0,1,4,+4
thomake01,30:00,7,9,.778,2,2,1.000,1,1,1.000,1,2,3,2,0,0,1,0,17,+18
norrimo01,24:00,1,1,1.000,0,0,,0,0,,0,2,2,6,1,0,2,3,2,+22
olajuha01,21:00,3,8,.375,0,0,,5,6,.833,1,6,7,1,0,0,1,2,11,+19
williwa02,20:00,4,7,.571,3,6,.500,4,6,.667,0,5,5,1,0,1,0,0,15,+14
bullama01,8:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,+3
langhda01,7:00,0,1,.000,0,0,,3,4,.750,0,1,1,0,1,0,0,0,3,-1
Team Totals,240,36,67,.537,9,21,.429,28,37,.757,3,32,35,25,8,4,10,16,109,
