Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,41:00,7,15,.467,1,6,.167,5,5,1.000,0,4,4,6,0,0,2,2,20,-2
cassesa01,38:00,6,17,.353,0,4,.000,7,8,.875,1,4,5,8,0,1,4,2,19,-17
robingl01,35:00,8,15,.533,1,3,.333,0,0,,2,4,6,4,0,1,2,2,17,-19
johnser02,22:00,1,2,.500,0,0,,0,0,,1,7,8,0,1,3,3,1,2,-9
popema01,9:00,1,1,1.000,0,0,,0,0,,2,0,2,0,1,0,0,2,2,-5
thomati01,34:00,4,8,.500,1,4,.250,2,2,1.000,0,2,2,3,1,2,1,1,11,-3
hunteli01,23:00,3,10,.300,3,9,.333,0,0,,0,1,1,2,1,1,1,3,9,+6
hamda01,17:00,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,1,3,2,-1
caffeja01,10:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,-18
willisc01,10:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,2,2,+5
alstora01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,34,75,.453,6,26,.231,14,15,.933,7,26,33,24,4,8,14,20,88,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paytoga01,44:00,12,24,.500,2,5,.400,0,0,,2,5,7,15,1,0,0,2,26,+24
lewisra02,33:00,10,20,.500,0,4,.000,0,0,,3,4,7,0,1,0,0,3,20,+8
davisem01,24:00,1,3,.333,0,1,.000,0,0,,0,0,0,2,1,0,0,3,2,+2
ewingpa01,23:00,3,11,.273,0,0,,3,4,.750,2,6,8,4,0,3,0,2,9,+24
mccoyje01,18:00,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,4,+5
patteru01,28:00,7,11,.636,0,0,,3,3,1.000,0,2,2,1,2,1,3,4,17,-2
barrybr01,26:00,3,7,.429,2,5,.400,0,0,,1,3,4,3,1,1,2,1,8,0
masonde01,24:00,1,4,.250,0,1,.000,0,0,,2,3,5,1,0,1,0,1,2,+11
bakervi01,20:00,5,9,.556,0,0,,3,4,.750,0,4,4,0,0,0,1,3,13,-7
Team Totals,240,44,93,.473,4,16,.250,9,11,.818,10,28,38,26,6,6,7,19,101,
