Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,40:00,10,18,.556,3,8,.375,2,2,1.000,1,1,2,1,3,2,0,2,25,0
cassesa01,40:00,10,15,.667,1,3,.333,2,2,1.000,0,5,5,8,0,0,6,5,23,-10
masonan01,38:00,2,5,.400,0,0,,1,5,.200,3,4,7,6,1,0,1,2,5,+3
robingl01,37:00,9,17,.529,1,3,.333,4,6,.667,0,4,4,1,1,0,1,2,23,-13
popema01,7:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-7
thomati01,29:00,4,11,.364,2,3,.667,0,2,.000,2,6,8,1,2,1,1,3,10,+2
johnser02,28:00,0,1,.000,0,0,,1,2,.500,3,0,3,1,2,0,1,2,1,-3
caffeja01,15:00,2,4,.500,0,0,,2,2,1.000,2,0,2,0,0,0,1,1,6,-7
alstora01,6:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+5
Team Totals,240,38,75,.507,7,19,.368,12,21,.571,11,21,32,19,9,3,11,18,95,
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallara01,44:00,10,21,.476,2,5,.400,2,2,1.000,4,8,12,1,0,1,0,1,24,+12
wellsbo01,40:00,6,11,.545,0,2,.000,1,1,1.000,0,5,5,7,3,1,4,5,13,-3
patteru01,40:00,5,17,.294,0,3,.000,2,2,1.000,2,4,6,5,1,0,4,2,12,+10
davisda01,39:00,12,16,.750,0,0,,1,1,1.000,11,5,16,2,1,1,0,2,25,+9
stoudda01,38:00,5,10,.500,3,4,.750,5,6,.833,1,0,1,6,2,0,2,5,18,+3
kerrst01,16:00,2,5,.400,1,3,.333,0,0,,1,1,2,1,1,0,0,1,5,+5
brunsri01,10:00,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,0,0,2,+3
kempsh01,8:00,0,3,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,3,2,-8
randoza01,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1
barkler01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,41,86,.477,6,17,.353,13,14,.929,21,25,46,24,8,3,11,19,101,
