Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walkesa01,41:00,4,9,.444,0,0,,6,8,.750,3,8,11,2,2,2,2,2,14,+3
bryanko01,36:00,11,22,.500,0,0,,6,7,.857,3,5,8,3,3,0,3,2,28,+3
foxri01,35:00,7,12,.583,3,5,.600,0,0,,2,5,7,6,2,2,2,2,17,+3
fishede01,25:00,2,8,.250,1,2,.500,0,0,,0,0,0,2,0,1,1,4,5,+3
madsema01,21:00,2,5,.400,0,0,,1,2,.500,2,3,5,2,0,0,0,1,5,+2
georgde01,25:00,2,7,.286,1,2,.500,4,4,1.000,0,1,1,1,0,1,0,0,9,-6
hunteli01,23:00,1,7,.143,0,2,.000,0,0,,0,1,1,2,1,1,2,2,2,-1
horryro01,15:00,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,0,2,2,0,+2
richmmi01,12:00,1,3,.333,1,1,1.000,0,0,,0,4,4,2,1,1,1,1,3,-2
medvest01,7:00,2,6,.333,0,0,,0,0,,4,0,4,0,1,0,0,1,4,-2
Team Totals,240,32,82,.390,6,13,.462,17,21,.810,14,30,44,21,10,8,13,17,87,
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
lafrera01,35:00,3,11,.273,0,3,.000,0,0,,2,6,8,1,1,4,2,4,6,-7
vanexni01,34:00,9,19,.474,3,6,.500,4,6,.667,0,1,1,8,0,0,4,1,25,-3
lenarvo01,29:00,8,13,.615,4,5,.800,2,4,.500,1,2,3,6,0,1,2,2,22,-2
poseyja01,29:00,2,6,.333,1,2,.500,0,0,,1,4,5,2,1,1,1,4,5,-6
willisc01,26:00,2,6,.333,0,0,,3,4,.750,3,7,10,0,0,0,1,3,7,-4
bowenry01,26:00,0,1,.000,0,0,,2,2,1.000,0,3,3,0,1,0,1,2,2,+7
mccloge01,25:00,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,3,2,0,+7
cheanca01,21:00,3,4,.750,0,0,,0,0,,1,6,7,1,0,1,1,1,6,+3
johnsav01,15:00,5,12,.417,0,1,.000,3,4,.750,0,0,0,1,0,0,1,1,13,0
Team Totals,240,32,75,.427,8,18,.444,14,20,.700,8,31,39,20,3,7,16,20,86,
