Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
abdursh01,42:00,5,17,.294,0,2,.000,12,14,.857,4,9,13,2,1,1,6,3,22,+13
terryja01,39:00,8,17,.471,1,4,.250,3,5,.600,1,2,3,11,5,0,2,1,20,+13
mottoha01,34:00,3,9,.333,0,0,,3,4,.750,3,5,8,1,0,0,0,6,9,+1
johnsde03,29:00,7,11,.636,3,4,.750,1,2,.500,0,5,5,3,1,3,0,5,18,+7
glovedi01,28:00,4,9,.444,0,0,,0,0,,0,3,3,4,1,1,2,3,8,+3
kukocto01,20:00,6,9,.667,2,3,.667,3,6,.500,1,2,3,1,1,0,1,1,17,-1
davisem01,20:00,3,4,.750,2,2,1.000,2,2,1.000,0,1,1,3,1,0,0,3,10,+1
mohamna01,19:00,2,4,.500,0,0,,2,2,1.000,1,2,3,0,1,0,1,5,6,-8
vaughja01,9:00,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,3,-9
Team Totals,240,39,82,.476,9,16,.563,26,35,.743,10,30,40,26,11,5,12,29,113,
Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
battish01,45:00,7,17,.412,3,8,.375,5,6,.833,2,1,3,4,3,2,1,3,22,-8
longgr01,37:00,5,5,1.000,0,0,,7,10,.700,1,5,6,5,0,0,2,4,17,+6
swiftst01,35:00,8,12,.667,0,0,,3,4,.750,4,3,7,0,1,2,3,6,19,-12
gasolpa01,33:00,2,5,.400,0,0,,2,2,1.000,0,11,11,3,0,5,3,4,6,-11
willija02,31:00,7,16,.438,2,8,.250,1,1,1.000,0,8,8,7,2,1,5,1,17,-10
buforro01,27:00,3,9,.333,0,1,.000,2,4,.500,2,1,3,1,1,0,0,1,8,+4
knighbr01,20:00,5,9,.556,0,1,.000,6,7,.857,0,1,1,4,1,0,0,4,16,+5
masseto01,12:00,2,6,.333,0,0,,0,0,,1,2,3,1,1,1,0,1,4,+6
Team Totals,240,39,79,.494,5,18,.278,26,34,.765,10,32,42,25,9,11,14,24,109,
