Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
webbech01,41:00,9,17,.529,0,0,,2,6,.333,2,13,15,4,2,1,3,3,20,+22
chrisdo01,37:00,2,8,.250,1,3,.333,2,2,1.000,1,6,7,4,1,0,0,3,7,+17
stojape01,31:00,9,16,.563,1,3,.333,2,3,.667,1,1,2,1,2,1,0,1,21,+24
bibbymi01,29:00,6,10,.600,0,0,,1,2,.500,0,1,1,9,3,0,2,1,13,+22
divacvl01,29:00,4,9,.444,0,0,,0,0,,2,6,8,4,1,3,2,0,8,+22
jacksbo01,22:00,7,10,.700,1,2,.500,0,0,,1,2,3,3,1,1,2,3,15,+10
turkohe01,22:00,2,8,.250,1,2,.500,3,4,.750,0,2,2,3,1,0,0,2,8,+2
pollasc01,15:00,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,0,2,+2
fundela01,8:00,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+2
wallage01,3:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+1
brownch01,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Team Totals,240,42,85,.494,4,10,.400,10,17,.588,9,33,42,29,11,6,9,13,98,
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
robingl01,34:00,7,14,.500,0,0,,0,0,,4,5,9,3,0,0,3,3,14,-11
masonan01,34:00,2,6,.333,0,0,,2,2,1.000,1,5,6,1,0,0,3,1,6,-12
allenra02,32:00,6,18,.333,2,8,.250,0,0,,0,5,5,1,0,0,3,2,14,-16
cassesa01,30:00,7,12,.583,0,0,,0,0,,1,5,6,5,1,0,3,3,14,-24
przybjo01,23:00,1,3,.333,0,0,,0,2,.000,2,3,5,1,2,2,1,1,2,-17
hamda01,21:00,5,7,.714,0,0,,0,2,.000,0,2,2,1,1,0,0,4,10,-10
anthogr01,21:00,2,7,.286,1,4,.250,0,0,,0,2,2,4,0,1,3,4,5,-10
reddmi01,20:00,2,7,.286,0,1,.000,2,2,1.000,0,2,2,1,0,1,0,0,6,-17
johnser02,18:00,1,1,1.000,0,0,,0,0,,1,3,4,1,1,0,1,1,2,-8
thomati01,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
fostegr01,3:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-3
Team Totals,240,33,78,.423,3,13,.231,4,8,.500,9,34,43,19,5,4,17,20,73,
