Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallabe01,43:00,1,4,.250,0,0,,1,4,.250,5,11,16,1,0,4,1,5,3,-1
hamilri01,33:00,9,20,.450,0,1,.000,7,7,1.000,0,2,2,2,0,1,1,2,25,-12
billuch01,25:00,3,11,.273,1,5,.200,0,0,,1,9,10,2,2,0,0,3,7,-8
rebraze01,23:00,1,7,.143,0,0,,0,2,.000,1,4,5,2,0,1,0,4,2,+1
currymi01,19:00,0,3,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,3,0,+1
robincl02,27:00,5,8,.625,1,4,.250,2,2,1.000,1,3,4,3,2,1,3,4,13,+1
atkinch01,24:00,2,6,.333,2,5,.400,0,0,,1,2,3,2,0,0,0,2,6,+1
willico02,23:00,3,13,.231,0,0,,3,4,.750,0,4,4,1,0,0,1,3,9,0
barryjo01,22:00,2,9,.222,1,6,.167,2,2,1.000,0,3,3,2,0,0,2,1,7,+7
okurme01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,26,81,.321,5,23,.217,15,21,.714,10,39,49,17,4,7,8,27,72,
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
olowomi01,45:00,6,11,.545,0,0,,7,10,.700,2,18,20,1,2,3,4,4,19,+11
millean02,43:00,1,12,.083,0,0,,8,10,.800,2,3,5,9,1,0,2,3,10,+11
brandel01,35:00,5,13,.385,0,0,,7,8,.875,3,10,13,1,0,1,1,2,17,+3
maggeco01,24:00,2,8,.250,0,0,,0,0,,0,1,1,0,0,0,2,4,4,0
richaqu01,13:00,0,3,.000,0,1,.000,0,0,,0,4,4,0,1,0,0,2,0,-5
jaricma01,24:00,1,3,.333,0,1,.000,1,2,.500,0,4,4,2,0,0,1,1,3,+2
doolike01,23:00,3,6,.500,2,2,1.000,1,1,1.000,1,2,3,0,1,0,1,4,9,+7
piatker01,17:00,2,5,.400,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,5,-9
zhizhwa01,10:00,1,5,.200,0,3,.000,3,4,.750,0,2,2,0,0,0,1,0,5,+6
rooksse01,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-11
wilcoch01,2:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-5
Team Totals,240,22,69,.319,3,8,.375,27,35,.771,9,45,54,13,5,4,12,22,74,
