Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,46:00,12,25,.480,2,2,1.000,5,8,.625,0,2,2,5,2,1,5,3,31,+4
onealsh01,46:00,12,16,.750,0,0,,7,18,.389,3,12,15,6,1,1,2,5,31,-5
fishede01,43:00,5,7,.714,1,1,1.000,1,1,1.000,0,0,0,7,0,0,1,6,12,+3
foxri01,40:00,6,13,.462,0,4,.000,5,6,.833,1,4,5,4,1,0,1,4,17,+4
walkesa01,22:00,2,4,.500,0,0,,3,4,.750,3,3,6,2,0,0,0,3,7,+4
horryro01,33:00,2,4,.500,2,3,.667,1,2,.500,1,4,5,1,0,0,2,3,7,+1
murratr01,13:00,1,3,.333,0,2,.000,0,0,,0,3,3,0,0,1,3,2,2,-2
shawbr01,12:00,0,2,.000,0,2,.000,0,0,,0,1,1,1,2,0,0,1,0,-2
rushka01,5:00,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-1
madsema01,5:00,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,2,0,+4
Team Totals,265,41,77,.532,5,14,.357,22,39,.564,10,30,40,26,6,4,14,29,109,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willial02,35:00,5,12,.417,1,1,1.000,5,6,.833,0,5,5,6,2,0,1,4,16,+3
willije01,34:00,4,7,.571,0,0,,3,5,.600,6,6,12,1,0,1,0,1,11,-11
lenarvo01,33:00,5,13,.385,1,1,1.000,1,2,.500,0,1,1,1,1,0,2,6,12,-3
hunteli01,29:00,5,11,.455,2,6,.333,5,7,.714,2,3,5,3,1,0,4,4,17,-3
mccoyje01,24:00,3,5,.600,0,0,,0,2,.000,2,4,6,4,1,0,0,6,6,-3
petermo01,47:00,9,21,.429,4,7,.571,5,5,1.000,2,0,2,3,2,0,2,2,27,-4
fostegr01,26:00,3,8,.375,0,0,,2,4,.500,3,4,7,0,0,0,2,6,8,+4
bradlmi01,21:00,3,4,.750,0,0,,0,0,,1,4,5,0,0,1,1,3,6,+6
jeffech01,13:00,1,2,.500,0,0,,2,2,1.000,1,0,1,0,1,0,1,1,4,0
jacksje01,3:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+1
Team Totals,265,38,84,.452,8,16,.500,23,33,.697,17,28,45,18,8,2,14,33,107,
