New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
sprewla01,35:00,10,20,.500,0,2,.000,1,4,.250,1,1,2,6,0,0,1,2,21,+8
houstal01,35:00,7,17,.412,4,8,.500,2,2,1.000,0,4,4,1,2,0,1,3,20,+8
eisleho01,23:00,3,5,.600,1,2,.500,0,0,,1,4,5,3,0,0,0,2,7,-8
thomaku01,21:00,4,9,.444,0,0,,0,0,,1,4,5,3,1,0,2,5,8,+9
harriot01,19:00,0,3,.000,0,0,,2,2,1.000,3,5,8,0,0,0,2,4,2,-7
doleami01,28:00,6,9,.667,0,0,,3,4,.750,2,3,5,0,0,0,0,4,15,+14
weathcl01,27:00,3,6,.500,0,0,,2,2,1.000,2,8,10,1,3,0,1,3,8,+20
wardch01,25:00,3,6,.500,2,3,.667,1,1,1.000,1,3,4,8,0,0,0,3,9,+24
andersh01,18:00,3,9,.333,0,2,.000,1,4,.250,0,0,0,1,2,0,0,4,7,+7
nailole01,8:00,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,3,3,2,+9
knightr01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Team Totals,240,40,85,.471,7,17,.412,12,19,.632,12,35,47,23,8,0,10,34,99,
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
francst01,44:00,7,19,.368,3,5,.600,10,13,.769,3,5,8,3,1,0,6,3,27,-16
moblecu01,36:00,4,14,.286,0,2,.000,0,0,,2,3,5,1,2,0,2,3,8,-20
mingya01,32:00,5,12,.417,0,0,,7,9,.778,2,3,5,0,0,1,2,5,17,-6
ricegl01,23:00,0,3,.000,0,3,.000,3,3,1.000,1,3,4,1,0,0,0,1,3,-5
griffed01,20:00,2,10,.200,0,4,.000,2,3,.667,0,3,3,1,0,1,1,0,6,-2
tayloma01,28:00,4,11,.364,0,0,,4,5,.800,1,4,5,2,0,0,0,1,12,-14
poseyja01,25:00,0,4,.000,0,0,,6,6,1.000,3,7,10,0,1,0,0,1,6,-15
catoke01,16:00,0,3,.000,0,0,,1,4,.250,5,4,9,0,0,0,0,2,1,-10
norrimo01,7:00,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-2
morrite01,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+6
nachbbo01,2:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+2
hawkiju01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,23,78,.295,4,15,.267,33,43,.767,17,34,51,10,4,2,11,17,83,
