Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mcgratr01,41:00,14,29,.483,3,5,.600,9,10,.900,1,4,5,4,2,1,3,2,40,-9
millemi01,38:00,6,15,.400,1,3,.333,0,0,,0,3,3,3,1,0,2,3,13,-4
vaughja01,29:00,2,4,.500,0,0,,0,0,,0,0,0,4,0,0,2,4,4,-3
kempsh01,17:00,2,6,.333,0,0,,0,0,,3,2,5,1,0,0,1,3,4,-10
oyedeol01,12:00,0,0,,0,0,,0,2,.000,1,2,3,1,0,0,0,2,0,+9
garripa01,29:00,2,5,.400,0,2,.000,2,2,1.000,2,2,4,1,0,0,2,4,6,-6
armstda01,26:00,3,7,.429,0,1,.000,5,5,1.000,1,0,1,5,3,0,4,3,11,-14
declean01,25:00,3,4,.750,0,0,,1,4,.250,1,7,8,2,0,1,1,5,7,-4
sasseje01,14:00,0,3,.000,0,1,.000,0,0,,2,1,3,1,0,0,1,0,0,-6
burkepa01,7:00,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-9
humphry01,2:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+1
Team Totals,240,34,77,.442,4,12,.333,17,23,.739,12,24,36,22,6,2,16,26,89,
New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mashbja01,46:00,13,22,.591,2,4,.500,1,1,1.000,2,3,5,9,1,0,1,3,29,+10
wesleda01,41:00,3,14,.214,0,3,.000,3,4,.750,0,4,4,5,1,0,1,4,9,+3
alexaco02,30:00,5,11,.455,1,1,1.000,3,4,.750,0,4,4,3,1,0,3,2,14,-4
brownpj01,27:00,8,12,.667,0,0,,2,2,1.000,1,0,1,1,0,1,1,3,18,-2
magloja01,24:00,1,2,.500,0,0,,3,4,.750,2,7,9,0,1,1,1,2,5,+4
campbel01,24:00,4,9,.444,0,0,,5,7,.714,2,3,5,2,2,0,4,2,13,+9
augmost01,18:00,2,4,.500,0,0,,0,0,,1,5,6,1,1,0,2,2,4,+16
moisoje01,13:00,2,3,.667,0,0,,1,1,1.000,0,1,1,0,2,1,0,1,5,+9
drewbr01,13:00,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+11
lynchge01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,39,80,.488,4,9,.444,18,23,.783,8,28,36,22,9,3,13,19,100,
