Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
brandel01,47:00,6,14,.429,0,0,,8,9,.889,5,7,12,3,2,4,4,3,20,-1
odomla01,38:00,6,15,.400,0,1,.000,1,1,1.000,0,6,6,3,0,0,7,4,13,-13
rooksse01,37:00,1,5,.200,0,0,,0,0,,1,4,5,3,0,0,2,2,2,-10
maggeco01,22:00,4,11,.364,1,2,.500,1,2,.500,1,1,2,3,2,1,3,1,10,-5
doolike01,19:00,1,6,.167,0,2,.000,0,0,,0,1,1,2,1,0,2,3,2,-3
richaqu01,29:00,6,6,1.000,3,3,1.000,0,0,,0,3,3,2,0,0,1,1,15,0
jaricma01,28:00,7,11,.636,3,5,.600,2,2,1.000,0,7,7,2,2,0,4,4,19,0
zhizhwa01,12:00,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,2,4,2,+7
piatker01,8:00,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,+10
Team Totals,240,32,72,.444,7,14,.500,14,16,.875,8,33,41,18,7,5,25,22,85,
Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
garneke01,42:00,5,12,.417,0,1,.000,2,2,1.000,5,9,14,9,2,0,4,3,12,+17
nestera01,36:00,7,12,.583,0,0,,0,0,,3,8,11,1,1,3,0,2,14,+4
smithjo02,28:00,2,11,.182,0,0,,8,8,1.000,2,3,5,0,0,0,1,4,12,+1
stricro02,21:00,3,6,.500,0,0,,3,6,.500,1,1,2,3,1,0,2,1,9,+1
gillke01,19:00,2,7,.286,0,0,,0,0,,1,0,1,1,1,0,2,0,4,-5
szczewa02,31:00,6,13,.462,1,3,.333,5,6,.833,1,1,2,1,0,1,1,4,18,+2
peelean01,27:00,3,10,.300,2,5,.400,2,2,1.000,1,0,1,2,6,0,1,1,10,+7
hudsotr01,27:00,2,7,.286,2,3,.667,1,2,.500,0,1,1,2,0,0,1,3,7,+2
trentga01,6:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-9
jacksma02,3:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,-5
Team Totals,240,30,81,.370,5,12,.417,23,28,.821,14,25,39,19,11,4,12,21,88,
