Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,40:00,15,29,.517,4,6,.667,6,9,.667,1,5,6,1,1,0,3,2,40,+2
foxri01,33:00,4,11,.364,3,8,.375,0,0,,0,3,3,1,0,1,1,2,11,-5
fishede01,31:00,3,12,.250,2,5,.400,8,8,1.000,2,3,5,4,0,1,0,2,16,-7
medvest01,18:00,1,4,.250,0,0,,0,0,,2,3,5,1,1,1,1,3,2,+1
walkesa01,8:00,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,0,2,0
horryro01,38:00,1,3,.333,0,1,.000,2,2,1.000,0,3,3,1,5,0,0,4,4,+6
georgde01,23:00,1,5,.200,0,2,.000,2,2,1.000,2,4,6,1,1,1,1,1,4,+9
madsema01,22:00,3,4,.750,0,0,,1,2,.500,1,3,4,1,0,2,0,5,7,+12
shawbr01,17:00,2,4,.500,0,1,.000,0,0,,0,3,3,3,0,2,2,0,4,+13
rushka01,8:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,+4
murratr01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-5
Team Totals,240,32,74,.432,10,24,.417,19,23,.826,9,28,37,16,8,8,9,21,93,
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
malonka01,39:00,9,19,.474,0,0,,7,9,.778,2,5,7,6,0,1,1,3,25,+4
harprma01,36:00,8,11,.727,1,2,.500,4,6,.667,2,3,5,2,1,0,2,5,21,+6
stockjo01,30:00,6,11,.545,0,1,.000,3,3,1.000,1,2,3,7,1,3,2,4,15,+12
ostergr01,30:00,1,4,.250,0,0,,1,2,.500,3,4,7,0,0,2,1,3,3,-15
cheanca01,29:00,1,6,.167,0,0,,1,4,.250,3,1,4,2,3,0,1,4,3,+15
kirilan01,25:00,2,8,.250,0,2,.000,0,0,,0,4,4,0,0,3,3,3,4,-21
jacksma01,18:00,2,8,.250,0,1,.000,0,0,,2,2,4,4,0,0,1,0,4,-18
padgesc01,17:00,2,4,.500,1,1,1.000,1,2,.500,1,2,3,1,0,0,0,0,6,+1
stevede01,13:00,3,7,.429,0,1,.000,0,0,,0,0,0,0,0,0,0,0,6,-12
amaecjo01,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Team Totals,240,34,79,.430,2,8,.250,17,26,.654,14,24,38,22,5,9,11,22,87,
