Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamisan01,45:00,11,24,.458,2,9,.222,6,6,1.000,2,8,10,0,0,0,1,2,30,+8
richaja01,35:00,4,8,.500,0,2,.000,0,0,,0,5,5,5,2,0,4,2,8,+8
arenagi01,34:00,3,12,.250,1,2,.500,4,4,1.000,0,2,2,7,1,0,2,3,11,-13
murphtr01,29:00,5,8,.625,0,0,,0,0,,2,5,7,2,0,0,0,4,10,-8
dampier01,24:00,6,7,.857,0,0,,2,3,.667,1,2,3,2,2,2,2,3,14,-2
boykiea01,25:00,8,14,.571,0,1,.000,7,9,.778,2,3,5,4,1,0,2,2,23,+9
foylead01,24:00,1,3,.333,0,0,,0,0,,1,5,6,2,0,2,1,0,2,+6
surabo01,15:00,1,5,.200,0,1,.000,0,0,,1,3,4,1,1,0,1,1,2,+6
dunlemi02,9:00,0,3,.000,0,2,.000,2,2,1.000,0,1,1,2,0,0,1,0,2,+6
Team Totals,240,39,84,.464,3,17,.176,21,24,.875,9,34,43,25,7,4,14,17,102,
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iversal01,44:00,8,22,.364,0,1,.000,12,14,.857,2,4,6,10,5,1,3,5,28,+2
snower01,36:00,3,9,.333,0,2,.000,0,1,.000,1,1,2,9,3,0,4,0,6,-15
colemde01,32:00,3,9,.333,0,2,.000,1,2,.500,1,5,6,2,0,2,2,3,7,+7
vanhoke01,25:00,8,18,.444,2,4,.500,0,2,.000,3,4,7,1,0,0,1,3,18,-4
hillty01,20:00,1,3,.333,0,0,,1,1,1.000,2,4,6,0,0,0,1,2,3,-9
thomake01,32:00,4,10,.400,0,0,,4,4,1.000,7,11,18,2,1,0,2,2,12,-2
mckieaa01,30:00,6,10,.600,0,2,.000,0,0,,0,3,3,3,2,0,0,1,12,-5
buckngr01,21:00,6,11,.545,0,1,.000,0,0,,1,1,2,0,1,0,0,2,12,+6
Team Totals,240,39,92,.424,2,12,.167,18,24,.750,17,33,50,27,12,3,13,18,98,
