New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mashbja01,45:00,8,22,.364,3,9,.333,4,5,.800,2,2,4,8,3,0,4,1,23,-1
magloja01,43:00,6,18,.333,0,0,,3,6,.500,3,9,12,1,0,1,3,4,15,-3
lynchge01,33:00,2,10,.200,0,3,.000,2,2,1.000,6,5,11,3,2,0,0,1,6,0
anderke01,28:00,2,6,.333,0,0,,2,2,1.000,1,1,2,1,1,1,1,0,6,-3
moisoje01,24:00,1,2,.500,0,0,,0,0,,1,2,3,1,1,1,1,4,2,+2
alexaco02,23:00,4,9,.444,0,2,.000,2,2,1.000,0,2,2,0,0,0,1,3,10,0
packro01,20:00,3,8,.375,0,1,.000,2,2,1.000,1,2,3,1,1,0,0,1,8,0
traylro01,14:00,2,6,.333,0,0,,0,0,,1,3,4,3,0,0,0,2,4,-3
augmost01,10:00,0,1,.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,1,2,-7
Team Totals,240,28,82,.341,3,15,.200,17,21,.810,15,27,42,19,8,3,10,17,76,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisri01,44:00,7,23,.304,0,3,.000,3,5,.600,2,5,7,7,0,3,1,2,17,-2
palacmi01,36:00,5,10,.500,0,0,,0,0,,0,3,3,2,1,0,0,2,10,0
boozeca01,32:00,5,15,.333,0,0,,3,4,.750,8,7,15,4,1,2,2,1,13,-1
milesda01,29:00,4,9,.444,0,0,,0,0,,1,2,3,4,0,3,2,1,8,+1
ilgauzy01,26:00,6,14,.429,0,0,,1,2,.500,2,5,7,0,0,1,4,6,13,+14
jonesju01,29:00,1,6,.167,1,3,.333,0,0,,0,3,3,5,0,1,1,1,3,+7
brownti01,16:00,2,5,.400,0,0,,0,0,,0,3,3,2,0,0,0,0,4,+8
diopde01,16:00,1,5,.200,0,0,,0,0,,5,1,6,1,0,2,1,4,2,-7
mihmch01,12:00,3,4,.750,0,0,,3,4,.750,1,0,1,0,1,1,5,1,9,-5
Team Totals,240,34,91,.374,1,6,.167,10,15,.667,19,29,48,25,3,13,16,18,79,
