Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
artesro01,29:00,6,17,.353,1,6,.167,2,2,1.000,1,5,6,5,2,0,2,0,15,+5
onealje01,28:00,6,12,.500,0,1,.000,2,4,.500,1,6,7,2,0,2,1,3,14,+11
tinslja01,25:00,3,9,.333,1,4,.250,0,0,,0,2,2,4,2,0,1,3,7,+5
fosteje01,23:00,3,4,.750,0,0,,1,1,1.000,5,2,7,3,1,0,0,4,7,+10
millere01,20:00,2,4,.500,1,3,.333,2,2,1.000,0,1,1,5,1,0,2,1,7,0
harrial01,28:00,9,14,.643,0,0,,1,5,.200,3,6,9,1,2,0,1,2,19,+25
jonesfr01,28:00,2,5,.400,1,2,.500,0,0,,1,5,6,4,1,0,0,3,5,+23
bendejo01,19:00,6,12,.500,2,3,.667,5,5,1.000,1,3,4,0,1,2,1,0,19,+18
johnsan02,17:00,2,4,.500,2,2,1.000,0,0,,0,0,0,2,2,0,0,4,6,+18
croshau01,11:00,1,3,.333,0,1,.000,2,2,1.000,1,1,2,0,1,0,0,1,4,0
anderke01,6:00,2,4,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,4,0
pollasc01,6:00,0,1,.000,0,0,,1,2,.500,1,0,1,0,1,0,0,0,1,0
Team Totals,240,42,89,.472,8,22,.364,16,23,.696,14,32,46,27,14,4,9,21,108,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
piercpa01,37:00,4,17,.235,0,2,.000,1,1,1.000,0,7,7,4,0,0,4,3,9,-22
atkinch01,34:00,4,7,.571,0,2,.000,4,4,1.000,0,2,2,2,0,0,2,0,12,-15
blounma01,34:00,5,10,.500,0,0,,1,4,.250,2,6,8,1,3,2,1,3,11,-18
mccarwa01,32:00,5,11,.455,1,6,.167,0,0,,2,4,6,2,1,1,0,3,11,-4
welscji01,21:00,2,4,.500,1,1,1.000,6,6,1.000,0,2,2,3,1,0,2,1,11,-11
davisri01,35:00,5,12,.417,0,0,,6,8,.750,2,4,6,7,0,0,4,3,16,-14
jonesju01,16:00,2,5,.400,0,1,.000,0,0,,1,1,2,0,0,0,0,2,4,-18
mihmch01,14:00,3,7,.429,0,0,,0,0,,2,3,5,0,1,2,1,1,6,-5
banksma01,14:00,2,3,.667,1,2,.500,0,0,,0,3,3,1,0,1,1,3,5,-8
huntebr01,3:00,0,0,,0,0,,0,0,,1,0,1,0,0,1,1,0,0,0
Team Totals,240,32,76,.421,3,14,.214,18,23,.783,10,32,42,20,6,7,16,19,85,
