Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealsh01,47:00,16,21,.762,0,0,,4,11,.364,3,17,20,2,0,1,2,4,36,-8
bryanko01,45:00,8,25,.320,2,6,.333,2,2,1.000,0,0,0,2,1,0,3,3,20,-8
paytoga01,43:00,4,11,.364,0,2,.000,0,0,,1,1,2,5,0,0,1,4,8,-5
malonka01,21:00,1,2,.500,0,0,,0,0,,2,3,5,2,0,0,2,2,2,-1
georgde01,15:00,1,2,.500,1,2,.500,2,4,.500,1,2,3,0,1,0,0,5,5,+7
fishede01,21:00,1,6,.167,0,3,.000,2,3,.667,1,4,5,2,0,0,0,4,4,-7
foxri01,16:00,1,4,.250,0,1,.000,0,0,,0,1,1,6,0,0,0,3,2,-8
medvest01,13:00,1,5,.200,0,0,,1,2,.500,1,0,1,1,0,0,0,3,3,-2
waltolu01,12:00,0,1,.000,0,1,.000,0,0,,0,1,1,3,2,0,2,6,0,-6
rushka01,6:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3
russebr01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Team Totals,240,33,78,.423,3,16,.188,11,22,.500,9,29,38,23,4,1,10,35,80,
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hamilri01,44:00,5,11,.455,0,0,,7,7,1.000,1,1,2,6,0,0,5,5,17,+9
wallara01,41:00,10,23,.435,0,5,.000,6,6,1.000,2,11,13,2,2,2,2,4,26,+7
princta01,40:00,3,10,.300,0,3,.000,0,1,.000,4,3,7,2,0,0,0,1,6,+10
wallabe01,39:00,2,5,.400,0,0,,4,14,.286,2,11,13,2,1,1,1,3,8,+16
billuch01,37:00,7,12,.583,2,5,.400,7,9,.778,0,4,4,4,2,0,3,3,23,+5
campbel01,14:00,0,3,.000,0,0,,0,0,,0,2,2,0,0,1,0,2,0,-3
hunteli01,11:00,0,1,.000,0,0,,4,4,1.000,0,0,0,0,0,0,0,1,4,-3
jamesmi01,6:00,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,4,+3
willico02,5:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0
hamda01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
milicda01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,29,68,.426,2,13,.154,28,41,.683,9,36,45,16,5,4,12,20,88,
