Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
richaja01,43:00,12,21,.571,1,3,.333,0,4,.000,3,10,13,3,0,2,4,1,25,+7
robincl02,39:00,2,8,.250,0,2,.000,3,6,.500,0,7,7,5,2,2,4,5,7,+8
dunlemi02,37:00,7,15,.467,1,6,.167,1,1,1.000,0,5,5,1,3,0,1,3,16,+14
dampier01,28:00,3,5,.600,0,0,,5,6,.833,4,7,11,2,0,1,2,3,11,-3
claxtsp01,26:00,4,9,.444,0,1,.000,4,4,1.000,1,2,3,3,0,0,2,4,12,+15
cardibr01,25:00,3,6,.500,0,0,,1,2,.500,1,4,5,1,1,0,2,3,7,+7
vanexni01,22:00,5,8,.625,2,4,.500,0,0,,0,0,0,2,1,0,2,1,12,-6
cheanca01,16:00,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,2,1,2,+3
pietrmi01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
parksch02,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
lamplse01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,37,76,.487,4,16,.250,14,23,.609,10,40,50,18,7,5,19,21,92,
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
marbust01,44:00,5,16,.313,1,2,.500,3,6,.500,0,0,0,6,4,0,2,3,14,-15
johnsjo02,41:00,3,12,.250,0,5,.000,2,2,1.000,0,2,2,3,0,0,2,1,8,-16
jacobca01,31:00,4,10,.400,4,7,.571,2,2,1.000,1,2,3,0,2,0,0,0,14,-10
stoudam01,25:00,2,6,.333,0,0,,2,2,1.000,1,4,5,1,1,1,2,5,6,-12
whiteja01,15:00,1,8,.125,0,0,,0,0,,4,5,9,0,1,1,3,3,2,-20
hardaan01,31:00,6,13,.462,1,3,.333,3,4,.750,2,2,4,5,2,0,0,0,16,+3
guglito01,21:00,3,6,.500,0,0,,1,2,.500,0,4,4,1,0,2,2,1,7,+4
voskuja01,16:00,2,4,.500,0,0,,0,0,,0,3,3,0,1,0,0,3,4,+8
willisc01,11:00,4,5,.800,0,0,,2,2,1.000,1,2,3,0,2,1,0,3,10,+7
barbole01,5:00,0,2,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,+6
Team Totals,240,30,82,.366,6,18,.333,17,22,.773,9,24,33,17,13,5,11,20,83,
