Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stoudda01,43:00,4,16,.250,3,9,.333,5,5,1.000,0,3,3,8,0,0,0,3,16,-13
anderde01,39:00,5,12,.417,2,7,.286,2,2,1.000,0,5,5,4,0,0,0,1,14,-11
milesda01,31:00,5,10,.500,0,0,,6,9,.667,2,3,5,3,2,1,2,3,16,-7
randoza01,30:00,6,10,.600,0,0,,6,6,1.000,3,8,11,0,0,1,6,5,18,-11
ratlith01,27:00,4,7,.571,0,0,,0,0,,3,1,4,0,0,2,1,3,8,-11
abdursh01,32:00,6,13,.462,0,0,,1,2,.500,0,5,5,3,0,1,1,2,13,-27
patteru01,19:00,2,9,.222,0,0,,0,0,,4,2,6,0,0,0,1,1,4,-10
woodsqy01,7:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
dickada01,6:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-7
davisda01,6:00,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,+4
Team Totals,240,32,80,.400,5,16,.313,22,26,.846,12,28,40,19,3,5,11,19,91,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walkean02,41:00,10,16,.625,2,5,.400,3,3,1.000,1,7,8,4,0,2,2,1,25,+14
finlemi01,41:00,5,15,.333,0,4,.000,2,2,1.000,1,2,3,4,1,4,1,2,12,+14
nowitdi01,38:00,7,16,.438,1,4,.250,6,6,1.000,2,5,7,3,0,3,1,2,21,+19
nashst01,36:00,9,13,.692,0,2,.000,4,4,1.000,0,3,3,11,0,0,1,2,22,+18
willisc01,19:00,5,6,.833,0,0,,1,2,.500,0,5,5,2,0,0,0,5,11,+5
jamisan01,26:00,2,7,.286,0,0,,0,0,,4,1,5,2,1,0,1,2,4,+7
bradlsh01,12:00,3,6,.500,0,0,,0,0,,3,1,4,0,0,1,1,6,6,+14
fortsda01,12:00,2,3,.667,0,0,,0,1,.000,1,5,6,1,1,1,1,4,4,+4
daniema01,7:00,3,7,.429,0,0,,0,0,,0,2,2,1,1,0,0,0,6,+5
najered01,7:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2
delkto01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,46,89,.517,3,15,.200,16,18,.889,12,32,44,29,4,11,9,24,111,
