Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,43:00,6,14,.429,2,5,.400,5,5,1.000,1,4,5,2,0,0,4,2,19,+16
lewisra02,36:00,11,16,.688,2,5,.400,7,9,.778,1,6,7,2,1,0,1,3,31,+9
potapvi01,30:00,7,11,.636,0,0,,0,0,,3,7,10,2,0,2,2,2,14,+3
barrybr01,29:00,1,5,.200,1,4,.250,0,2,.000,0,2,2,7,3,0,1,3,3,+10
evansre01,12:00,0,2,.000,0,0,,2,4,.500,4,4,8,0,0,0,3,2,2,+4
radmavl01,31:00,2,7,.286,2,5,.400,0,0,,2,4,6,3,1,0,1,1,6,-3
murraro01,24:00,4,10,.400,0,3,.000,3,4,.750,3,0,3,3,1,0,2,1,11,+9
daniean01,17:00,1,3,.333,0,0,,1,2,.500,0,1,1,3,1,0,2,1,3,-1
jamesje01,17:00,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,2,2,+8
boothca01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,32,70,.457,7,22,.318,20,28,.714,14,30,44,22,7,2,16,17,91,
New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisba01,43:00,9,24,.375,3,13,.231,4,7,.571,1,2,3,7,4,1,4,4,25,-6
magloja01,37:00,6,12,.500,0,0,,1,2,.500,1,7,8,0,2,1,2,1,13,-7
wesleda01,34:00,4,16,.250,2,10,.200,2,2,1.000,0,1,1,5,1,0,2,3,12,-9
brownpj01,32:00,3,5,.600,0,0,,0,0,,5,3,8,5,1,3,1,3,6,-7
augmost01,25:00,3,8,.375,0,0,,2,2,1.000,1,1,2,1,1,0,1,2,8,-4
armstda01,28:00,1,5,.200,0,4,.000,0,0,,1,2,3,1,0,1,3,2,2,-7
westda01,14:00,2,2,1.000,0,0,,0,0,,2,3,5,1,1,0,0,0,4,-3
traylro01,11:00,1,3,.333,0,0,,0,0,,1,2,3,1,1,0,0,2,2,-4
smithst01,9:00,2,5,.400,1,2,.500,1,1,1.000,0,0,0,2,0,0,0,2,6,-3
lynchge01,7:00,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,1,2,-5
Team Totals,240,32,82,.390,6,29,.207,10,14,.714,13,21,34,24,11,6,13,20,80,
