New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
marbust01,34:00,4,14,.286,0,2,.000,2,3,.667,0,3,3,10,0,0,1,1,10,-12
thomaku01,33:00,4,6,.667,0,0,,2,2,1.000,1,6,7,0,0,0,1,2,10,-20
thomati01,30:00,5,10,.500,1,1,1.000,5,6,.833,0,2,2,0,0,0,4,5,16,-10
mohamna01,26:00,8,14,.571,0,0,,4,5,.800,4,5,9,1,2,4,2,4,20,-11
andersh01,14:00,1,2,.500,0,0,,0,2,.000,1,1,2,0,1,0,3,0,2,-3
hardaan01,25:00,1,5,.200,0,0,,1,2,.500,0,3,3,2,1,0,2,1,3,-12
norrimo01,20:00,4,5,.800,0,0,,0,0,,1,1,2,5,1,2,0,2,8,-14
sweetmi01,14:00,3,5,.600,0,0,,4,4,1.000,2,4,6,1,0,0,1,2,10,+2
johnsde03,14:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-12
bakervi01,13:00,2,4,.500,0,0,,0,1,.000,0,0,0,0,1,0,3,5,4,-14
mutomdi01,9:00,1,2,.500,0,0,,1,1,1.000,1,1,2,0,0,1,0,0,3,+1
willifr02,8:00,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0
Team Totals,240,33,71,.465,1,3,.333,19,26,.731,10,26,36,20,7,7,20,23,86,
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
artesro01,34:00,10,18,.556,1,3,.333,5,9,.556,0,2,2,3,1,2,1,2,26,+15
onealje01,30:00,8,19,.421,0,0,,4,8,.500,3,6,9,2,0,0,0,5,20,+23
fosteje01,26:00,4,5,.800,0,0,,4,4,1.000,6,4,10,1,1,1,2,4,12,+11
tinslja01,25:00,3,6,.500,2,3,.667,2,4,.500,0,0,0,9,5,1,3,1,10,+13
millere01,21:00,4,6,.667,2,2,1.000,0,0,,0,1,1,2,1,0,1,0,10,+9
johnsan02,23:00,1,6,.167,0,1,.000,1,1,1.000,1,1,2,5,2,0,0,1,3,+8
jonesfr01,23:00,0,1,.000,0,0,,0,0,,0,0,0,4,1,0,1,0,0,+10
harrial01,22:00,6,9,.667,0,0,,0,0,,2,3,5,2,1,0,2,3,12,+14
pollasc01,15:00,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,3,2,+2
croshau01,11:00,2,4,.500,1,1,1.000,1,1,1.000,0,2,2,1,0,0,0,0,6,+7
anderke01,6:00,0,2,.000,0,0,,2,2,1.000,1,1,2,1,0,0,1,0,2,-4
brezepr01,4:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,-3
Team Totals,240,41,80,.513,6,10,.600,19,29,.655,13,23,36,30,12,4,11,21,107,
