Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamisan01,39:00,9,17,.529,2,4,.500,7,8,.875,2,3,5,2,1,0,1,1,27,+8
hughela01,35:00,7,14,.500,2,3,.667,6,9,.667,1,2,3,3,5,0,3,4,22,-2
jeffrja01,33:00,3,5,.600,0,1,.000,2,4,.500,3,3,6,2,2,1,3,3,8,0
arenagi01,28:00,0,4,.000,0,3,.000,7,8,.875,0,3,3,5,0,0,1,4,7,-2
haywobr01,23:00,2,11,.182,0,0,,0,0,,3,1,4,0,0,1,0,4,4,+1
hayesja01,26:00,5,9,.556,0,0,,4,4,1.000,0,2,2,1,0,0,0,2,14,+17
ruffimi01,24:00,0,2,.000,0,0,,0,0,,1,4,5,0,1,1,0,3,0,+7
peelean01,16:00,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,1,1,7,+18
dixonju01,13:00,2,5,.400,1,2,.500,3,4,.750,0,5,5,2,0,0,1,0,8,+13
blakest01,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-5
Team Totals,240,31,71,.437,6,14,.429,29,37,.784,11,23,34,15,10,3,10,22,97,
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jefferi01,41:00,8,18,.444,1,2,.500,5,6,.833,1,3,4,3,1,1,5,2,22,-6
willier01,41:00,5,9,.556,1,2,.500,5,5,1.000,1,5,6,5,1,0,3,4,16,-3
collija04,37:00,1,3,.333,0,0,,3,4,.750,4,7,11,1,2,0,2,3,5,+11
mournal01,35:00,6,11,.545,0,0,,2,4,.500,3,4,7,1,0,5,1,0,14,+5
planizo01,26:00,6,10,.600,0,0,,2,3,.667,1,3,4,3,0,0,2,6,14,+1
besttr01,23:00,3,8,.375,0,1,.000,5,6,.833,0,1,1,1,1,0,2,6,11,-14
buforro01,14:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-17
williaa01,10:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,1,2,2,-12
scalabr01,8:00,0,5,.000,0,1,.000,0,0,,0,1,1,0,1,1,0,1,0,-14
storeaw01,4:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-6
vaughja01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,31,70,.443,2,7,.286,22,28,.786,11,26,37,15,6,8,16,25,86,
