Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millemi01,38:00,5,12,.417,3,4,.750,0,0,,1,2,3,2,2,0,2,3,13,-9
gasolpa01,38:00,5,15,.333,0,0,,2,2,1.000,6,5,11,1,1,1,2,3,12,-5
watsoea01,35:00,4,16,.250,0,3,.000,4,4,1.000,1,1,2,12,0,0,2,3,12,-3
wrighlo02,34:00,7,17,.412,0,0,,4,4,1.000,6,5,11,0,1,0,1,4,18,-4
battish01,23:00,3,7,.429,1,1,1.000,0,2,.000,5,4,9,0,1,1,0,0,7,+3
poseyja01,25:00,4,10,.400,2,6,.333,0,0,,0,3,3,3,1,0,0,3,10,-11
swiftst01,17:00,2,6,.333,0,1,.000,2,2,1.000,2,3,5,0,1,0,1,4,6,0
burksan01,13:00,3,6,.500,0,1,.000,0,0,,1,1,2,0,1,0,1,1,6,-5
wellsbo01,10:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,2,4,0,+1
tsakaja01,7:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Team Totals,240,33,92,.359,6,16,.375,12,14,.857,22,25,47,19,8,2,11,26,84,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wadedw01,42:00,8,13,.615,0,0,,10,12,.833,2,7,9,9,2,2,4,3,26,+12
jonesed02,39:00,2,14,.143,1,8,.125,0,0,,0,4,4,4,2,0,1,2,5,+6
jonesda01,38:00,5,7,.714,5,7,.714,0,0,,0,4,4,2,0,0,1,1,15,+9
onealsh01,36:00,7,11,.636,0,0,,6,9,.667,0,5,5,5,1,3,3,5,20,+6
hasleud01,28:00,4,4,1.000,0,0,,3,4,.750,1,2,3,0,0,0,2,5,11,-6
laettch01,20:00,3,6,.500,0,0,,1,1,1.000,4,4,8,1,1,1,1,4,7,+14
butlera01,15:00,0,4,.000,0,2,.000,0,0,,0,4,4,0,0,0,1,0,0,-2
doleami01,12:00,3,3,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,0,7,+2
doolike01,10:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-1
Team Totals,240,32,63,.508,6,17,.353,22,30,.733,8,32,40,21,6,6,14,20,92,
