Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
boozeca01,41:00,11,20,.550,0,0,,7,11,.636,4,6,10,5,2,0,1,4,29,-1
bellra01,41:00,4,12,.333,1,2,.500,0,1,.000,0,2,2,1,0,0,0,1,9,-4
harprma01,39:00,6,12,.500,0,2,.000,2,3,.667,1,3,4,3,1,0,2,2,14,-12
lopezra01,22:00,1,6,.167,1,4,.250,0,0,,0,1,1,5,1,0,2,1,3,+10
radojal01,16:00,2,3,.667,0,0,,0,0,,1,4,5,0,0,0,4,2,4,-12
okurme01,29:00,5,10,.500,0,0,,1,2,.500,5,10,15,3,0,0,3,2,11,-23
arroyca01,26:00,5,8,.625,0,0,,0,0,,1,0,1,3,0,0,2,3,10,-22
giricgo01,16:00,2,7,.286,0,2,.000,0,0,,0,2,2,0,0,0,0,1,4,-8
borchcu01,10:00,0,3,.000,0,0,,2,2,1.000,0,5,5,0,0,0,0,2,2,+12
Team Totals,240,36,81,.444,2,10,.200,12,19,.632,12,33,45,20,4,0,14,18,86,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
boshch01,33:00,6,14,.429,0,1,.000,6,8,.750,0,8,8,1,1,2,3,4,18,+24
willier01,31:00,4,6,.667,1,1,1.000,2,4,.500,0,8,8,5,2,1,1,2,11,+8
alstora01,29:00,3,8,.375,1,3,.333,2,4,.500,0,2,2,14,0,0,2,1,9,+9
petermo01,27:00,3,7,.429,1,3,.333,0,0,,0,5,5,1,1,0,2,3,7,-1
woodslo01,13:00,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,1,1,0,4,-2
marshdo01,32:00,5,9,.556,4,8,.500,8,8,1.000,3,5,8,1,2,3,1,3,22,+20
roseja01,20:00,5,8,.625,2,2,1.000,0,0,,0,1,1,3,0,0,1,1,12,+13
palacmi01,19:00,2,4,.500,0,0,,0,0,,0,2,2,1,1,0,0,0,4,+3
murrala01,18:00,3,7,.429,0,2,.000,3,4,.750,2,2,4,1,1,1,1,4,9,+4
bonnema01,12:00,1,3,.333,0,0,,0,0,,1,2,3,1,0,1,1,1,2,-9
williaa01,6:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-9
Team Totals,240,33,70,.471,9,20,.450,23,30,.767,6,37,43,29,8,9,13,20,98,
