New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisba01,41:00,7,16,.438,1,3,.333,1,2,.500,2,6,8,6,1,0,6,5,16,-11
rogerro01,34:00,2,11,.182,0,2,.000,0,0,,0,3,3,2,0,0,2,1,4,-21
brownpj01,28:00,6,11,.545,0,0,,1,2,.500,2,5,7,0,2,2,0,3,13,-7
nailole01,26:00,8,15,.533,0,0,,0,0,,3,2,5,0,0,0,0,1,16,-18
smithjr01,26:00,1,5,.200,0,2,.000,3,4,.750,0,3,3,2,0,0,1,2,5,-11
dickada01,30:00,2,6,.333,1,3,.333,2,2,1.000,0,1,1,3,0,0,2,5,7,-6
nachbbo01,25:00,3,7,.429,1,2,.500,0,0,,0,1,1,1,0,0,0,2,7,0
anderch01,24:00,2,4,.500,0,0,,2,2,1.000,3,1,4,1,0,2,1,1,6,-6
edwarco01,3:00,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,0,2,+5
lynchge01,3:00,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,+5
Team Totals,240,32,77,.416,3,13,.231,9,12,.750,11,24,35,15,4,4,12,20,76,
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hamilri01,37:00,8,15,.533,0,3,.000,4,6,.667,0,0,0,10,0,0,2,2,20,+21
wallabe01,36:00,5,8,.625,0,0,,1,4,.250,2,17,19,4,3,4,2,1,11,+15
billuch01,35:00,7,13,.538,3,7,.429,8,8,1.000,1,3,4,4,1,0,1,2,25,+14
princta01,33:00,5,8,.625,2,3,.667,0,0,,1,2,3,2,0,1,3,0,12,+17
wallara01,31:00,5,10,.500,0,2,.000,0,0,,1,5,6,1,0,1,0,2,10,+12
mcdyean01,23:00,4,7,.571,0,0,,0,0,,2,3,5,0,1,0,1,3,8,+11
hunteli01,17:00,0,6,.000,0,2,.000,0,0,,2,0,2,3,1,0,1,4,0,+4
duprero01,15:00,0,1,.000,0,0,,2,2,1.000,0,2,2,1,0,1,1,2,2,-3
goldwan01,6:00,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-11
milicda01,4:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
hamda01,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-5
Team Totals,240,35,74,.473,5,19,.263,15,20,.750,10,34,44,25,6,7,12,16,90,
