Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jonesed02,40:00,5,11,.455,1,3,.333,2,2,1.000,0,2,2,8,0,1,2,2,13,+7
hasleud01,37:00,11,16,.688,0,0,,0,0,,2,8,10,1,1,0,2,5,22,+12
onealsh01,36:00,9,15,.600,0,0,,8,20,.400,3,9,12,2,0,2,5,3,26,+13
andersh01,33:00,3,5,.600,0,0,,2,2,1.000,0,7,7,3,2,1,1,4,8,+15
jonesda01,31:00,3,4,.750,1,2,.500,2,3,.667,0,4,4,10,0,0,2,2,9,+19
doolike01,17:00,0,3,.000,0,0,,2,2,1.000,0,1,1,5,0,1,1,2,2,-12
doleami01,12:00,2,5,.400,0,0,,1,2,.500,2,2,4,0,0,0,1,3,5,-6
persowe01,12:00,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,0
laettch01,11:00,2,2,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,2,5,-5
butlera01,11:00,1,4,.250,0,2,.000,1,2,.500,0,2,2,0,0,1,1,0,3,-8
Team Totals,240,38,68,.559,3,8,.375,19,35,.543,8,35,43,30,3,6,15,24,98,
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
fishede01,40:00,3,11,.273,2,4,.500,9,10,.900,1,5,6,3,3,0,0,2,17,-11
murphtr01,39:00,11,22,.500,0,1,.000,0,0,,8,9,17,5,1,0,0,3,22,-9
claxtsp01,39:00,2,10,.200,0,2,.000,5,6,.833,0,1,1,8,3,0,2,3,9,-8
robincl02,26:00,2,10,.200,0,5,.000,2,2,1.000,2,1,3,2,2,0,1,5,6,-4
dunlemi02,20:00,1,10,.100,0,2,.000,0,0,,0,3,3,1,0,0,1,2,2,-6
pietrmi01,31:00,5,11,.455,0,2,.000,5,6,.833,0,3,3,0,3,0,1,4,15,0
foylead01,24:00,6,6,1.000,0,0,,0,0,,2,3,5,1,1,1,1,3,12,+1
cheanca01,14:00,2,3,.667,0,0,,2,4,.500,0,1,1,1,0,0,1,0,6,+4
cabarza01,7:00,0,2,.000,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,1,2,-2
Team Totals,240,32,85,.376,2,17,.118,25,30,.833,13,28,41,22,13,1,7,23,91,
