Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bibbymi01,43:00,10,20,.500,4,5,.800,3,5,.600,0,4,4,5,1,0,2,2,27,+3
millebr01,42:00,7,11,.636,0,0,,6,6,1.000,2,4,6,4,2,2,0,2,20,+4
moblecu01,40:00,6,12,.500,2,5,.400,6,7,.857,2,3,5,5,3,0,4,4,20,-4
webbech01,40:00,7,23,.304,0,0,,0,0,,6,11,17,12,0,1,5,2,14,-6
stojape01,5:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,-4
evansma01,30:00,5,9,.556,3,4,.750,4,4,1.000,2,2,4,0,2,1,2,4,17,+19
barnema02,21:00,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,3,0,-3
songada01,13:00,3,4,.750,0,0,,0,0,,0,2,2,0,0,0,0,3,6,+10
houseed01,6:00,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,+1
Team Totals,240,38,84,.452,9,16,.563,19,22,.864,12,29,41,29,9,4,14,21,104,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
piercpa01,40:00,7,11,.636,1,2,.500,7,10,.700,1,5,6,4,2,0,3,2,22,+5
blounma01,40:00,7,13,.538,0,0,,2,4,.500,4,4,8,3,1,0,3,3,16,+10
lafrera01,38:00,9,16,.563,4,8,.500,3,3,1.000,3,6,9,0,0,1,1,1,25,+7
paytoga01,37:00,6,14,.429,0,2,.000,0,0,,2,4,6,9,5,0,2,3,12,+7
allento01,17:00,2,7,.286,0,0,,2,2,1.000,0,4,4,2,0,1,0,2,6,+6
davisri01,31:00,6,11,.545,0,1,.000,2,2,1.000,0,2,2,5,1,0,3,3,14,-13
guglito01,10:00,0,0,,0,0,,0,0,,1,2,3,0,1,1,0,1,0,-11
banksma01,9:00,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,2,2,-6
perkike01,8:00,1,3,.333,0,0,,1,2,.500,0,1,1,0,0,0,4,1,3,-11
welscji01,8:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
westde01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-5
Team Totals,240,38,79,.481,5,14,.357,19,25,.760,11,29,40,23,10,3,16,20,100,
