Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walkean02,41:08,10,17,.588,4,7,.571,1,1,1.000,3,13,16,4,0,1,1,3,25,+15
wadedw01,39:45,9,18,.500,0,1,.000,5,7,.714,2,8,10,6,2,2,7,4,23,+15
willija02,32:47,4,7,.571,0,3,.000,2,2,1.000,0,2,2,3,3,0,1,5,10,+9
onealsh01,27:51,6,14,.429,0,0,,0,3,.000,1,5,6,3,1,3,3,2,12,+16
hasleud01,25:30,1,6,.167,0,0,,4,4,1.000,3,5,8,0,0,0,1,5,6,+11
paytoga01,28:17,0,3,.000,0,2,.000,4,4,1.000,0,4,4,2,1,0,4,2,4,+11
kaponja01,20:11,3,6,.500,3,5,.600,0,0,,0,1,1,1,0,0,0,2,9,+11
mournal01,18:32,2,4,.500,0,0,,0,0,,0,2,2,0,0,1,1,5,4,+2
barroea01,1:37,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,+1
simiewa01,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
wrighdo01,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
walshma01,1:08,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
Team Totals,240,37,78,.474,7,18,.389,16,21,.762,9,41,50,19,7,7,18,29,97,
Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gasolpa01,40:52,11,23,.478,0,0,,4,7,.571,6,6,12,4,0,3,1,0,26,-16
battish01,35:57,2,4,.500,1,1,1.000,3,4,.750,1,3,4,1,0,1,3,2,8,-12
stoudda01,34:03,4,13,.308,0,3,.000,2,2,1.000,2,3,5,5,0,0,1,3,10,-10
jonesed02,32:21,5,17,.294,2,7,.286,3,3,1.000,3,4,7,1,3,1,1,1,15,-12
wrighlo02,24:29,1,8,.125,0,0,,0,2,.000,2,4,6,1,2,0,1,5,2,-13
millemi01,25:28,3,7,.429,0,3,.000,1,2,.500,0,4,4,1,1,0,3,2,7,-8
jacksbo01,14:59,2,7,.286,1,3,.333,0,1,.000,0,3,3,3,1,0,1,0,5,-10
jonesda02,11:01,1,3,.333,0,0,,2,3,.667,0,2,2,0,0,0,2,2,4,-10
tsakaja01,9:47,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,2,4,0,+1
roberla01,7:49,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,2,1,-3
burksan01,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
warriha01,1:37,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,29,85,.341,4,17,.235,16,26,.615,14,30,44,16,8,6,15,21,78,
