Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
vujacsa01,33:24,1,5,.200,1,3,.333,0,0,,1,2,3,3,2,0,0,3,3,+14
parkesm01,33:12,6,13,.462,1,4,.250,0,0,,0,3,3,2,1,0,1,0,13,+20
odomla01,32:08,5,6,.833,2,2,1.000,2,2,1.000,0,7,7,5,0,1,2,2,14,+20
bryanko01,31:18,10,17,.588,2,4,.500,5,8,.625,2,6,8,3,1,0,3,2,27,+22
mihmch01,20:19,3,8,.375,0,0,,1,2,.500,4,4,8,0,0,1,2,3,7,+18
brownkw01,25:03,3,7,.429,0,0,,3,6,.500,4,2,6,0,2,0,2,2,9,+4
waltolu01,19:41,1,4,.250,0,0,,2,4,.500,1,4,5,5,0,0,2,4,4,-2
profila01,17:48,3,5,.600,0,0,,2,2,1.000,2,2,4,1,0,0,2,0,8,-9
georgde01,16:22,2,6,.333,0,2,.000,0,0,,1,2,3,1,1,0,1,3,4,0
cookbr01,5:29,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,1,2,+2
greende01,2:38,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-7
bynuman01,2:38,0,0,,0,0,,1,2,.500,0,0,0,0,0,1,0,0,1,-7
Team Totals,240,36,75,.480,6,15,.400,16,26,.615,15,33,48,20,7,4,15,22,94,
Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millemi01,39:03,8,16,.500,2,7,.286,3,5,.600,0,5,5,2,0,2,0,2,21,-16
gasolpa01,33:05,4,11,.364,0,0,,2,4,.500,6,6,12,2,2,1,4,1,10,-14
stoudda01,32:19,2,10,.200,0,3,.000,0,0,,0,4,4,7,0,0,2,0,4,-15
jonesed02,31:20,2,8,.250,2,4,.500,0,0,,0,3,3,2,3,1,0,1,6,-20
wrighlo02,15:38,2,3,.667,0,0,,0,1,.000,0,4,4,0,1,1,1,3,4,-11
warriha01,30:15,5,8,.625,0,0,,1,1,1.000,2,5,7,1,0,0,2,5,11,-11
jonesda02,22:54,1,6,.167,0,0,,1,3,.333,1,0,1,0,1,2,0,4,3,+4
burksan01,15:41,5,7,.714,0,0,,1,1,1.000,0,0,0,3,0,0,2,2,11,0
cardibr01,8:59,1,4,.250,0,1,.000,1,2,.500,0,0,0,2,0,0,1,2,3,-3
roberan02,6:49,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,4,+4
roberla01,3:57,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,2,+7
Team Totals,240,33,77,.429,4,15,.267,9,17,.529,10,28,38,20,7,7,12,22,79,
