Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisba01,38:30,7,14,.500,3,4,.750,3,6,.500,0,4,4,11,2,1,1,3,20,+9
murphtr01,35:50,7,12,.583,3,4,.750,3,3,1.000,0,8,8,4,1,0,1,3,20,+3
richaja01,35:30,7,16,.438,4,7,.571,5,8,.625,1,0,1,3,0,0,2,4,23,+5
dunlemi02,23:55,0,5,.000,0,3,.000,1,2,.500,0,0,0,1,1,0,0,2,1,-2
foylead01,14:16,3,6,.500,0,0,,0,0,,2,2,4,0,0,0,1,2,6,-8
fishede01,31:18,8,13,.615,4,6,.667,1,2,.500,1,2,3,6,3,0,2,3,21,+19
biedran01,20:50,1,3,.333,0,0,,0,0,,1,3,4,0,2,0,0,2,2,+14
cabarza01,18:03,4,7,.571,3,4,.750,2,2,1.000,1,2,3,1,0,0,3,2,13,+1
cheanca01,11:53,0,3,.000,0,1,.000,0,0,,0,2,2,0,1,0,1,1,0,+8
milesaa01,9:55,1,1,1.000,0,0,,0,0,,0,4,4,1,0,0,0,1,2,+1
Team Totals,240,38,80,.475,17,29,.586,15,23,.652,6,27,33,27,10,1,11,23,108,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
boshch01,40:12,10,15,.667,0,0,,7,8,.875,0,8,8,4,1,3,2,2,27,+3
caldejo01,37:30,6,11,.545,0,0,,3,4,.750,0,7,7,11,1,0,4,5,15,+2
jamesmi01,33:41,6,10,.600,5,5,1.000,2,2,1.000,0,2,2,2,0,0,3,3,19,-6
petermo01,33:23,3,8,.375,1,2,.500,3,4,.750,2,3,5,2,1,0,1,2,10,-4
araujra01,11:54,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,+4
villach01,36:06,8,13,.615,1,3,.333,1,2,.500,0,9,9,2,0,0,3,4,18,-14
grahajo01,17:44,1,4,.250,0,1,.000,2,2,1.000,0,2,2,0,0,0,3,5,4,-16
bonnema01,14:21,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,1,0,-9
roseja01,10:54,0,3,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,1,2,-6
martida01,4:15,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-4
Team Totals,240,35,71,.493,8,15,.533,20,24,.833,4,34,38,22,3,3,16,24,98,
