Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hamilri01,42:46,12,21,.571,0,0,,6,6,1.000,2,3,5,3,0,0,1,1,30,+7
princta01,41:36,5,9,.556,2,2,1.000,0,0,,1,5,6,6,0,0,2,0,12,+18
wallara01,41:07,6,17,.353,2,9,.222,1,2,.500,1,3,4,4,2,3,0,3,15,+5
wallabe01,37:35,0,2,.000,0,0,,1,4,.250,2,10,12,2,1,3,0,2,1,+18
billuch01,32:04,6,11,.545,1,4,.250,5,5,1.000,0,4,4,6,1,0,4,6,18,+17
mcdyean01,17:43,4,7,.571,0,0,,0,0,,1,2,3,2,0,0,0,2,8,-3
arroyca01,14:33,3,4,.750,2,2,1.000,0,0,,0,0,0,3,0,0,3,6,8,-6
evansma01,11:13,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,3,0,0,1,4,-5
delfica01,1:23,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-1
Team Totals,240,37,72,.514,7,17,.412,15,19,.789,7,28,35,26,8,6,10,21,96,
New Orleans/Oklahoma City Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
westda01,43:20,8,17,.471,0,0,,4,4,1.000,3,3,6,1,0,1,2,3,20,-13
brownpj01,35:06,1,5,.200,0,0,,1,1,1.000,2,7,9,2,0,0,2,3,3,-13
paulch01,34:30,4,14,.286,0,1,.000,5,5,1.000,0,3,3,5,2,0,0,5,13,-9
masonde01,33:12,5,12,.417,0,0,,0,0,,3,5,8,1,1,1,3,0,10,-17
snydeki01,22:35,5,10,.500,3,4,.750,0,0,,1,4,5,0,0,0,0,3,13,-5
claxtsp01,30:59,7,11,.636,0,0,,4,6,.667,1,2,3,4,2,0,6,1,18,-6
anderch01,17:34,2,2,1.000,0,0,,0,0,,2,1,3,0,0,0,0,1,4,+6
butlera01,14:48,2,3,.667,1,1,1.000,0,0,,0,1,1,2,0,0,1,0,5,+7
smithjr01,7:56,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,1,0,0
Team Totals,240,34,75,.453,4,7,.571,14,16,.875,12,27,39,15,5,3,14,17,86,
