Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anthoca01,42:30,9,21,.429,0,0,,15,17,.882,1,8,9,2,3,1,4,4,33,+5
millean02,42:23,8,11,.727,0,0,,5,6,.833,1,2,3,9,1,0,4,1,21,+15
martike01,39:09,8,14,.571,1,2,.500,5,5,1.000,5,5,10,1,1,0,3,1,22,+8
buckngr01,36:24,3,10,.300,1,5,.200,1,2,.500,1,2,3,2,1,1,1,5,8,+21
cambyma01,26:26,5,10,.500,0,0,,2,2,1.000,1,3,4,0,2,2,0,4,12,+8
boykiea01,25:01,4,9,.444,0,3,.000,3,4,.750,1,1,2,4,0,0,2,0,11,-12
najered01,19:39,1,3,.333,0,0,,1,2,.500,2,2,4,2,1,1,0,0,3,+16
watsoea01,17:07,2,5,.400,2,4,.500,2,2,1.000,0,2,2,2,1,0,1,1,8,-8
elsonfr01,15:56,1,1,1.000,0,0,,0,0,,2,1,3,0,1,0,0,2,2,-11
kleizli01,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,265,41,84,.488,4,14,.286,34,40,.850,14,26,40,22,11,5,15,18,120,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wilkida02,47:42,9,17,.529,0,1,.000,3,3,1.000,5,5,10,4,2,0,4,6,21,-15
allenra02,43:14,10,20,.500,8,12,.667,6,6,1.000,2,2,4,3,0,1,5,2,34,-2
ridnolu01,39:50,6,17,.353,0,2,.000,3,3,1.000,0,6,6,8,0,0,2,4,15,-17
swiftro01,32:36,3,5,.600,0,0,,2,2,1.000,1,5,6,0,0,3,1,2,8,-12
collini01,26:21,2,7,.286,0,0,,1,2,.500,3,4,7,1,1,1,2,6,5,-9
radmavl01,26:39,4,12,.333,3,7,.429,0,0,,2,1,3,4,1,1,2,5,11,+1
petrojo01,20:24,3,5,.600,0,0,,1,2,.500,6,1,7,2,0,1,1,5,7,+4
mooremi01,14:24,3,7,.429,0,1,.000,0,0,,2,3,5,0,1,0,2,3,6,+6
murraro01,8:20,0,3,.000,0,0,,1,2,.500,0,0,0,2,0,0,2,0,1,+3
cleavma01,5:30,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,1,4,+1
Team Totals,265,42,96,.438,11,23,.478,17,20,.850,21,27,48,26,5,7,21,34,112,
