New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
crawfja01,46:13,6,17,.353,2,7,.286,5,8,.625,0,3,3,9,5,1,2,1,19,-7
robinna01,45:33,11,20,.550,6,9,.667,4,6,.667,3,1,4,3,3,0,3,3,32,-3
rosema01,25:43,4,10,.400,0,0,,1,2,.500,3,4,7,3,0,0,1,3,9,+13
woodsqy01,25:31,1,4,.250,1,2,.500,1,2,.500,0,7,7,1,1,1,0,2,4,+15
curryed01,17:48,3,6,.500,0,0,,3,4,.750,0,4,4,0,0,2,2,5,9,+6
tayloma01,22:34,0,1,.000,0,0,,0,0,,0,5,5,1,0,1,3,4,0,-10
roseja01,18:16,3,5,.600,0,1,.000,0,0,,0,2,2,2,1,0,3,3,6,-14
jamesje01,15:06,4,6,.667,0,0,,0,0,,0,0,0,0,1,2,0,4,8,-3
udokaim01,8:47,0,3,.000,0,0,,0,0,,0,0,0,2,1,0,0,0,0,-6
butleja01,8:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-8
leeda02,6:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Team Totals,240,32,72,.444,9,19,.474,14,22,.636,6,27,33,21,12,7,15,26,87,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hughela01,40:27,10,24,.417,0,2,.000,6,6,1.000,3,10,13,6,2,2,4,4,26,+5
murraro01,31:34,2,9,.222,1,2,.500,7,9,.778,1,0,1,2,0,0,2,2,12,+5
ilgauzy01,29:02,5,10,.500,0,0,,7,8,.875,5,9,14,2,1,5,3,3,17,+8
snower01,28:04,1,2,.500,0,0,,0,0,,0,1,1,2,2,0,2,1,2,+6
goodedr01,18:13,3,5,.600,0,0,,0,0,,1,1,2,1,0,0,1,1,6,-4
varejan01,26:06,0,2,.000,0,0,,0,4,.000,1,6,7,1,2,1,0,3,0,+5
jonesda01,23:20,2,6,.333,1,3,.333,0,0,,0,0,0,2,0,0,1,2,5,-4
marshdo01,22:22,6,11,.545,3,6,.500,2,2,1.000,2,4,6,2,1,1,1,1,17,0
pavloal01,10:57,1,4,.250,0,2,.000,2,3,.667,1,0,1,0,0,0,1,0,4,+1
newblir01,9:55,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,1,2,-2
Team Totals,240,31,75,.413,5,15,.333,24,32,.750,14,33,47,18,8,10,15,18,91,
