Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealje01,40:17,8,17,.471,0,0,,4,9,.444,4,8,12,4,0,8,2,3,20,-2
grangda01,34:26,3,7,.429,3,4,.750,1,2,.500,0,2,2,0,2,0,0,6,10,-2
tinslja01,30:02,4,11,.364,1,3,.333,6,9,.667,1,4,5,7,0,0,3,2,15,+1
fosteje01,27:42,3,5,.600,0,0,,5,6,.833,4,5,9,0,0,1,1,2,11,+6
daniema01,25:28,3,10,.300,0,3,.000,2,2,1.000,0,4,4,1,1,0,2,2,8,-8
jacksst02,31:56,7,17,.412,3,9,.333,0,0,,1,2,3,4,3,0,2,3,17,+4
jasiksa01,20:25,2,6,.333,2,4,.500,1,1,1.000,0,2,2,4,0,0,3,4,7,+4
poweljo01,13:25,0,1,.000,0,0,,2,4,.500,2,2,4,0,0,0,0,1,2,+1
armstda01,12:16,4,5,.800,2,3,.667,1,2,.500,2,0,2,3,0,0,1,1,11,+5
marshra01,2:49,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-2
bastoma01,1:13,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,+3
Team Totals,240,34,80,.425,11,26,.423,23,37,.622,15,30,45,24,6,9,15,24,102,
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
reddmi01,37:41,6,14,.429,1,3,.333,8,10,.800,0,5,5,0,1,1,2,2,21,+4
patteru01,35:52,5,9,.556,0,0,,2,3,.667,0,4,4,2,1,0,3,2,12,-3
willima01,32:06,6,16,.375,0,1,.000,7,8,.875,1,8,9,11,0,0,4,5,19,+8
bogutan01,30:09,6,10,.600,0,0,,2,2,1.000,3,9,12,2,0,0,1,5,14,+1
ilyaser01,23:43,5,6,.833,2,2,1.000,0,0,,1,1,2,0,2,0,2,5,12,-11
bellch01,33:59,4,12,.333,3,6,.500,0,1,.000,2,1,3,4,1,0,2,3,11,-3
skinnbr01,24:08,1,4,.250,0,0,,3,5,.600,2,5,7,1,0,3,0,4,5,+4
blakest01,15:08,2,4,.500,0,1,.000,0,0,,0,1,1,1,1,0,1,1,4,-8
gadzuda01,6:59,1,3,.333,0,0,,0,0,,1,0,1,0,0,1,0,2,2,-2
noelda01,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,36,78,.462,6,13,.462,22,29,.759,10,34,44,21,6,5,15,29,100,
