Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,39:46,7,20,.350,2,9,.222,7,9,.778,0,1,1,3,0,0,3,0,23,+8
lewisra02,38:42,14,22,.636,3,8,.375,4,4,1.000,2,11,13,1,1,0,2,3,35,+14
ridnolu01,36:29,5,12,.417,0,1,.000,2,2,1.000,1,1,2,9,1,0,1,1,12,+15
wilcoch01,30:29,3,7,.429,0,0,,3,4,.750,1,5,6,2,2,0,0,4,9,+18
petrojo01,19:23,2,4,.500,0,0,,0,0,,1,2,3,3,0,2,2,5,4,+7
collini01,29:52,3,9,.333,0,0,,0,0,,4,9,13,0,0,2,0,1,6,0
watsoea01,17:09,1,4,.250,0,0,,0,0,,0,4,4,1,0,0,1,2,2,-3
glynian01,15:52,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,4,2,-5
wilkida02,12:19,1,4,.250,0,0,,0,0,,2,1,3,2,1,1,0,2,2,-4
Team Totals,240,37,84,.440,5,18,.278,16,19,.842,12,36,48,21,5,5,9,22,95,
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
kamanch01,41:29,5,10,.500,0,0,,2,4,.500,3,11,14,0,0,0,4,3,12,-7
brandel01,41:26,3,12,.250,0,0,,1,2,.500,4,12,16,6,0,4,0,0,7,-13
rossqu01,32:40,4,7,.571,0,1,.000,3,4,.750,0,0,0,1,1,0,1,2,11,-10
cassesa01,30:10,5,13,.385,0,0,,3,4,.750,0,2,2,4,0,0,3,0,13,-19
moblecu01,23:43,3,8,.375,0,1,.000,3,4,.750,0,2,2,3,1,0,1,2,9,-10
thomati01,33:41,6,14,.429,3,9,.333,0,0,,0,2,2,3,0,0,0,3,15,+1
maggeco01,19:01,3,7,.429,0,1,.000,4,6,.667,0,2,2,0,0,0,2,3,10,-1
livinsh01,17:26,3,7,.429,0,1,.000,2,2,1.000,1,1,2,1,1,0,0,3,8,+9
ewingda01,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,32,78,.410,3,13,.231,18,26,.692,8,32,40,18,3,4,11,16,85,
