Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iguodan01,44:16,4,12,.333,1,5,.200,9,12,.750,3,13,16,10,3,0,3,3,18,-5
greenwi01,34:48,10,23,.435,4,5,.800,0,0,,1,1,2,4,1,0,2,3,24,-4
randosh01,34:08,3,8,.375,0,0,,1,2,.500,2,9,11,1,2,4,2,4,7,+4
ollieke01,32:45,2,3,.667,0,0,,2,4,.500,0,1,1,9,1,0,1,5,6,-4
dalemsa01,15:09,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,1,6,2,-1
korveky01,34:59,6,12,.500,4,5,.800,3,6,.500,0,2,2,2,0,0,4,4,19,-11
carnero01,16:05,4,7,.571,1,1,1.000,0,0,,0,1,1,0,0,1,0,3,9,-4
hendeal01,11:31,3,3,1.000,0,0,,1,1,1.000,2,2,4,0,0,1,1,6,7,+8
willilo02,9:35,0,4,.000,0,1,.000,0,0,,1,0,1,0,0,0,2,1,0,-1
smithst03,4:27,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0
mcfariv01,2:06,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-2
jonesbo02,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,34,78,.436,10,17,.588,16,25,.640,11,33,44,26,7,6,16,35,94,
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
reddmi01,45:50,9,26,.346,2,5,.400,12,15,.800,1,4,5,2,2,0,2,2,32,+6
patteru01,41:04,7,11,.636,0,0,,4,8,.500,4,3,7,5,1,0,3,3,18,+6
bogutan01,30:34,5,8,.625,0,0,,4,8,.500,3,6,9,4,0,1,1,2,14,+3
ilyaser01,16:33,1,6,.167,0,1,.000,2,2,1.000,1,1,2,1,0,0,2,3,4,-9
blakest01,12:09,1,2,.500,0,1,.000,0,0,,0,2,2,3,0,0,2,4,2,-6
bellch01,36:07,4,8,.500,1,3,.333,4,5,.800,0,5,5,2,0,0,1,5,13,+9
noelda01,32:17,4,6,.667,1,3,.333,2,2,1.000,0,2,2,7,1,2,0,4,11,+12
gadzuda01,20:37,1,3,.333,0,0,,2,2,1.000,3,4,7,0,0,2,1,3,4,0
skinnbr01,4:49,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,2,0,0,-1
Team Totals,240,32,71,.451,4,13,.308,30,42,.714,12,29,41,24,4,5,14,26,98,
