San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bowenbr01,41:45,2,5,.400,0,0,,1,2,.500,0,4,4,1,1,0,0,2,5,+9
parketo01,33:15,10,18,.556,0,0,,0,0,,0,2,2,5,1,0,2,1,20,+16
duncati01,32:50,7,11,.636,0,0,,4,4,1.000,7,9,16,6,0,0,6,3,18,+8
finlemi01,25:59,4,9,.444,1,2,.500,1,2,.500,0,1,1,3,0,0,0,0,10,+16
obertfa01,23:56,7,8,.875,0,0,,2,2,1.000,0,5,5,0,1,0,1,3,16,+12
horryro01,25:20,3,6,.500,2,4,.500,0,0,,1,4,5,2,0,1,2,2,8,+14
barrybr01,24:07,4,9,.444,3,8,.375,1,1,1.000,0,2,2,3,1,0,1,0,12,+11
udrihbe01,11:59,1,4,.250,0,0,,0,0,,0,3,3,2,0,0,2,0,2,+9
elsonfr01,11:42,1,4,.250,0,0,,0,0,,4,3,7,1,2,0,3,0,2,+1
vaughja01,4:53,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-2
bonnema01,2:07,2,4,.500,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,5,+3
willier01,2:07,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Team Totals,240,41,78,.526,7,15,.467,9,11,.818,13,35,48,25,6,1,17,12,98,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,39:31,9,20,.450,0,4,.000,3,3,1.000,2,1,3,1,1,1,2,1,21,-11
lewisra02,33:20,3,7,.429,0,1,.000,2,2,1.000,1,1,2,3,2,1,3,0,8,-10
ridnolu01,32:38,5,14,.357,1,2,.500,0,0,,1,3,4,4,4,0,1,1,11,-10
wilcoch01,30:58,2,6,.333,0,0,,3,3,1.000,1,3,4,5,1,1,0,1,7,-8
petrojo01,29:07,3,11,.273,0,0,,0,2,.000,6,3,9,0,2,1,2,1,6,-13
collini01,27:17,6,12,.500,0,0,,3,6,.500,5,2,7,0,0,0,0,3,15,-10
watsoea01,19:37,1,8,.125,0,3,.000,0,0,,0,3,3,4,1,0,1,3,2,-13
wilkida02,14:45,3,5,.600,0,0,,0,0,,0,1,1,0,0,0,1,1,6,-12
glynian01,6:26,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-4
gelabmi01,2:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
senesa01,2:07,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
wilksmi01,2:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,33,86,.384,1,10,.100,11,16,.688,16,18,34,17,11,4,10,13,78,
