Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
billuch01,38:55,5,14,.357,1,7,.143,3,3,1.000,0,2,2,7,1,0,2,2,14,-7
wallara01,38:23,6,13,.462,0,3,.000,7,8,.875,2,6,8,3,3,2,1,2,19,-7
hamilri01,35:53,5,16,.313,2,4,.500,5,6,.833,1,3,4,2,1,1,4,3,17,-9
princta01,34:07,7,14,.500,1,5,.200,2,2,1.000,2,3,5,3,0,1,1,2,17,-8
mohamna01,16:37,4,7,.571,0,0,,0,0,,1,3,4,0,1,1,1,3,8,-5
mcdyean01,27:59,4,9,.444,0,0,,0,0,,3,3,6,1,0,1,1,3,8,-12
murraro01,19:05,2,5,.400,1,2,.500,1,1,1.000,1,1,2,2,0,0,1,5,6,+4
davisda01,12:16,0,0,,0,0,,0,0,,0,3,3,0,0,1,2,4,0,+6
hunteli01,9:05,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1
delfica01,7:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Team Totals,240,33,81,.407,5,21,.238,18,20,.900,10,25,35,18,6,7,14,24,89,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
feltora01,37:53,5,10,.500,2,2,1.000,3,4,.750,1,0,1,5,2,0,4,3,15,+1
wallage01,35:00,4,10,.400,0,2,.000,0,4,.000,2,8,10,0,1,0,1,3,8,0
okafoem01,34:35,7,16,.438,0,0,,4,4,1.000,4,4,8,0,1,2,2,1,18,+3
knighbr01,33:37,4,6,.667,0,0,,0,0,,0,7,7,14,0,0,3,3,8,+9
morriad01,19:16,1,5,.200,0,2,.000,0,0,,1,2,3,1,0,0,1,0,2,-2
mayse01,22:35,7,10,.700,0,0,,3,3,1.000,1,3,4,1,0,1,3,2,17,+5
carroma01,20:48,5,8,.625,2,4,.500,4,4,1.000,0,3,3,1,2,1,0,2,16,+10
anderde01,18:28,3,5,.600,2,3,.667,3,3,1.000,0,2,2,1,0,0,0,4,11,+8
harriot01,7:36,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+4
brezepr01,5:56,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+3
voskuja01,4:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,37,75,.493,6,13,.462,17,22,.773,9,30,39,23,6,4,15,20,97,
