Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jackja01,37:39,6,9,.667,1,1,1.000,0,0,,0,2,2,5,0,0,3,2,13,-29
randoza01,36:56,9,21,.429,0,0,,7,8,.875,4,5,9,3,0,0,3,1,25,-11
roybr01,34:38,3,12,.250,1,4,.250,3,3,1.000,2,3,5,3,3,0,2,1,10,-7
udokaim01,20:06,2,4,.500,0,2,.000,0,0,,0,2,2,0,1,0,4,2,4,-15
przybjo01,12:34,0,1,.000,0,0,,0,0,,2,1,3,0,1,1,2,3,0,-10
aldrila01,23:46,6,8,.750,0,0,,5,8,.625,5,1,6,0,0,0,1,3,17,+10
dixonju01,23:10,2,4,.500,1,3,.333,0,0,,1,1,2,0,1,0,2,3,5,-2
webstma02,21:46,0,3,.000,0,1,.000,0,0,,0,2,2,1,1,0,0,3,0,+4
magloja01,19:10,3,5,.600,0,0,,2,3,.667,0,3,3,1,0,0,0,2,8,-16
rodrise01,3:25,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
lafrera01,3:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
dickada01,3:25,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+2
Team Totals,240,32,71,.451,3,13,.231,17,22,.773,14,20,34,13,8,1,17,20,84,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bowenbr01,36:03,4,7,.571,4,6,.667,0,0,,0,1,1,1,1,0,0,3,12,+20
duncati01,33:39,5,8,.625,0,0,,6,8,.750,4,5,9,5,1,4,4,4,16,+27
ginobma01,23:18,4,15,.267,1,2,.500,5,7,.714,2,3,5,0,4,0,0,1,14,+9
obertfa01,22:29,2,2,1.000,0,0,,0,0,,1,3,4,1,0,0,0,3,4,-3
parketo01,21:12,6,9,.667,0,0,,2,2,1.000,1,0,1,0,2,0,1,1,14,+17
bonnema01,27:06,3,7,.429,2,5,.400,0,0,,2,3,5,0,0,0,2,6,8,-1
barrybr01,25:46,4,8,.500,3,5,.600,2,3,.667,2,2,4,3,1,0,4,2,13,+9
udrihbe01,23:53,3,7,.429,0,1,.000,2,2,1.000,0,2,2,7,1,0,2,0,8,-1
finlemi01,19:44,2,5,.400,1,2,.500,4,4,1.000,0,2,2,0,0,0,0,2,9,-3
vaughja01,3:25,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2
willier01,3:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Team Totals,240,33,68,.485,11,21,.524,21,26,.808,12,22,34,18,10,4,14,23,98,
