Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
dalemsa01,42:39,5,7,.714,0,0,,2,3,.667,2,6,8,2,1,5,0,2,12,+15
millean02,41:59,5,12,.417,0,0,,6,6,1.000,0,3,3,8,5,0,2,2,16,+14
iguodan01,41:39,8,13,.615,0,1,.000,9,10,.900,1,3,4,5,5,0,3,1,25,+12
greenwi01,31:03,8,16,.500,1,2,.500,1,2,.500,0,4,4,2,0,0,2,2,18,+1
huntest01,30:20,4,7,.571,0,0,,0,2,.000,1,2,3,0,0,2,0,2,8,+6
korveky01,23:29,3,11,.273,1,1,1.000,7,7,1.000,0,1,1,0,0,0,2,3,14,-7
smithjo02,22:50,2,5,.400,0,0,,3,3,1.000,2,3,5,1,0,1,2,1,7,-11
ollieke01,6:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,4,0,-10
Team Totals,240,35,71,.493,2,4,.500,28,33,.848,6,22,28,19,11,8,11,17,100,
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
grangda01,39:01,7,17,.412,3,5,.600,1,2,.500,1,2,3,1,0,2,5,2,18,-10
dunlemi02,36:14,7,11,.636,1,2,.500,2,3,.667,0,3,3,4,1,0,1,3,17,-6
murphtr01,35:10,9,17,.529,0,2,.000,0,0,,1,6,7,2,1,0,1,3,18,-13
armstda01,23:03,3,4,.750,0,0,,0,0,,0,1,1,5,0,0,3,2,6,-11
fosteje01,19:36,0,2,.000,0,0,,0,0,,1,2,3,1,0,1,1,2,0,-11
dioguik01,32:09,7,14,.500,0,0,,3,3,1.000,2,5,7,0,1,1,3,4,17,+5
mcleoke01,25:10,2,6,.333,0,1,.000,2,2,1.000,0,1,1,6,1,0,2,2,6,+7
greenor01,20:45,3,5,.600,0,0,,2,3,.667,0,5,5,3,2,0,0,5,8,+8
harrida01,8:53,3,4,.750,0,0,,0,0,,1,0,1,0,0,0,1,1,6,+11
Team Totals,240,41,80,.513,4,10,.400,10,13,.769,6,25,31,22,6,4,17,24,96,
