Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willima02,37:42,5,9,.556,1,2,.500,6,6,1.000,1,7,8,2,1,0,3,3,17,-7
childjo01,37:38,2,6,.333,0,0,,3,4,.750,0,3,3,3,0,0,3,3,7,-27
johnsan02,30:48,4,8,.500,1,2,.500,8,9,.889,1,0,1,2,1,0,3,4,17,-22
smithjo03,27:39,6,16,.375,0,2,.000,7,11,.636,0,6,6,0,4,3,5,4,19,-4
pachuza01,23:37,1,6,.167,0,0,,3,4,.750,2,7,9,1,3,0,2,4,5,-7
stoudsa01,22:42,1,2,.500,1,1,1.000,2,2,1.000,0,1,1,2,0,0,0,0,5,-4
luety01,22:24,3,4,.750,1,1,1.000,4,4,1.000,0,0,0,3,0,0,3,2,11,-10
jonesso01,14:08,2,2,1.000,0,0,,2,2,1.000,1,1,2,0,1,0,1,3,6,-12
willish02,13:05,0,6,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,2,1,-6
wrighlo02,6:53,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-4
iveyro01,3:24,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-2
Team Totals,240,24,63,.381,4,8,.500,36,44,.818,6,28,34,14,10,3,20,26,88,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
rondora01,33:35,5,8,.625,1,1,1.000,2,3,.667,2,2,4,10,3,0,3,4,13,+26
westde01,32:22,5,10,.500,0,2,.000,0,0,,0,3,3,6,1,1,3,5,10,+24
perkike01,27:29,4,5,.800,0,0,,4,5,.800,3,9,12,0,1,1,1,2,12,+16
piercpa01,26:44,5,13,.385,2,6,.333,5,6,.833,2,2,4,5,0,0,3,2,17,+21
jeffeal01,26:21,10,15,.667,0,0,,3,6,.500,2,7,9,1,2,2,0,3,23,+18
scalabr01,23:15,1,2,.500,0,1,.000,0,0,,1,3,4,3,1,1,2,1,2,+6
greenge01,22:50,3,9,.333,1,2,.500,0,0,,0,2,2,0,1,0,2,5,7,+6
powele01,18:37,1,6,.167,0,0,,6,7,.857,0,4,4,0,0,0,0,4,8,-4
rayal01,16:47,4,8,.500,2,2,1.000,0,0,,1,1,2,1,1,0,2,6,10,-3
telfase01,12:00,3,5,.600,0,1,.000,1,1,1.000,0,0,0,1,1,0,1,0,7,-5
Team Totals,240,41,81,.506,6,15,.400,21,28,.750,11,33,44,27,11,5,17,32,109,
