Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wilkida02,31:01,2,4,.500,0,0,,0,0,,0,2,2,1,0,0,1,4,4,+2
lewisra02,30:44,8,13,.615,1,3,.333,2,2,1.000,1,1,2,1,0,0,2,1,19,-29
wilcoch01,29:11,7,10,.700,0,0,,6,6,1.000,1,1,2,1,0,0,1,4,20,-16
collini01,26:24,2,6,.333,0,0,,2,3,.667,2,2,4,1,0,0,2,2,6,-28
ridnolu01,25:10,1,7,.143,0,0,,0,0,,0,4,4,3,0,0,0,2,2,-22
petrojo01,28:25,7,16,.438,0,0,,0,0,,1,2,3,1,0,3,2,2,14,-1
watsoea01,23:13,2,6,.333,1,3,.333,3,3,1.000,1,2,3,4,0,0,2,2,8,-16
gelabmi01,20:19,2,4,.500,0,2,.000,0,1,.000,1,0,1,2,0,0,0,1,4,+5
wilksmi01,13:33,2,3,.667,0,0,,2,3,.667,0,0,0,4,1,0,0,0,6,+3
senesa01,12:00,4,6,.667,0,0,,0,0,,0,1,1,0,0,1,0,3,8,+7
Team Totals,240,37,75,.493,2,8,.250,15,18,.833,7,15,22,18,1,4,10,21,91,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bowenbr01,28:12,6,9,.667,6,9,.667,0,0,,0,0,0,1,0,1,1,3,18,+26
duncati01,27:29,6,9,.667,0,0,,2,2,1.000,1,4,5,7,1,1,1,1,14,+28
parketo01,25:49,5,8,.625,0,0,,6,6,1.000,0,6,6,4,1,0,1,2,16,+28
finlemi01,24:56,4,7,.571,3,5,.600,2,2,1.000,1,1,2,2,0,0,0,1,13,-3
elsonfr01,13:18,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,4,4,6,-5
obertfa01,26:13,4,4,1.000,0,0,,3,4,.750,3,7,10,1,1,1,0,1,11,+18
bonnema01,23:22,3,10,.300,0,1,.000,2,2,1.000,5,4,9,2,0,1,1,3,8,+1
ginobma01,22:11,3,6,.500,0,3,.000,2,2,1.000,1,3,4,5,2,0,1,0,8,+22
vaughja01,15:34,1,1,1.000,0,0,,1,2,.500,0,1,1,3,0,0,2,2,3,-5
udrihbe01,15:18,1,6,.167,0,2,.000,0,0,,0,2,2,0,0,0,1,2,2,-4
whiteja02,12:00,1,3,.333,0,1,.000,4,6,.667,0,2,2,1,0,0,1,0,6,-7
butleja01,5:38,2,4,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,5,-4
Team Totals,240,39,70,.557,9,21,.429,23,27,.852,11,30,41,26,5,4,13,20,110,
