Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
martike02,41:03,6,14,.429,1,2,.500,15,15,1.000,0,6,6,0,2,0,1,1,28,-22
garcifr01,40:40,8,10,.800,2,3,.667,5,5,1.000,0,1,1,6,3,0,1,3,23,-12
salmojo01,40:09,10,18,.556,0,1,.000,7,7,1.000,3,2,5,4,1,0,4,1,27,-17
millebr01,27:53,3,7,.429,0,0,,0,0,,3,1,4,1,0,0,1,5,6,-24
mooremi01,27:46,2,4,.500,0,0,,0,0,,1,2,3,2,0,0,2,4,4,-15
watkida01,25:18,2,6,.333,0,0,,2,5,.400,3,2,5,0,1,0,4,3,6,-6
doubyqu01,12:47,0,3,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-4
greenor01,9:21,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,1,1,2,-8
abdursh01,8:57,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,1,1,4,+4
thomake01,6:06,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-1
Team Totals,240,35,70,.500,3,7,.429,29,32,.906,11,16,27,14,8,0,15,21,102,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
howarjo01,32:50,10,17,.588,1,4,.250,6,7,.857,1,6,7,5,1,2,1,2,27,+23
nowitdi01,29:52,9,11,.818,0,0,,6,6,1.000,2,2,4,7,0,1,2,2,24,+19
bareajo01,28:35,9,11,.818,4,4,1.000,3,3,1.000,0,1,1,5,1,0,4,2,25,+19
diopde01,25:31,3,3,1.000,0,0,,2,3,.667,1,7,8,0,0,0,2,4,8,+15
jonesed02,14:31,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,+12
terryja01,29:12,5,8,.625,2,2,1.000,4,5,.800,0,1,1,5,2,0,1,3,16,+9
hassetr01,21:21,2,3,.667,0,1,.000,0,0,,0,3,3,0,0,0,1,2,4,+4
bassbr01,20:08,4,6,.667,0,0,,3,3,1.000,2,1,3,2,0,2,2,3,11,+6
howarju01,17:23,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,3,0,+5
stackje01,13:59,3,6,.500,0,1,.000,0,0,,1,0,1,4,1,0,1,0,6,-1
agerma01,3:32,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-3
fazekni01,3:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,45,69,.652,7,14,.500,26,29,.897,7,24,31,29,5,5,14,22,123,
