New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wrighan01,40:00,1,3,.333,1,2,.500,1,2,.500,2,1,3,1,2,2,3,4,4,-13
jefferi01,38:40,7,19,.368,0,2,.000,7,10,.700,1,5,6,3,0,0,2,4,21,-15
kiddja01,36:39,7,18,.389,2,6,.333,3,4,.750,3,6,9,7,1,0,5,4,19,-18
krstine01,13:08,1,5,.200,0,0,,0,0,,0,1,1,0,0,0,1,0,2,+1
collija04,9:29,0,1,.000,0,0,,0,2,.000,0,1,1,0,0,0,0,2,0,-2
willise01,28:50,5,8,.625,0,0,,4,8,.500,4,3,7,0,1,4,2,2,14,-8
allenma01,22:27,0,5,.000,0,0,,0,0,,4,2,6,1,0,0,1,0,0,-11
nachbbo01,20:36,1,4,.250,1,2,.500,0,0,,0,1,1,0,0,0,3,5,3,-15
armstda01,18:13,2,6,.333,0,2,.000,2,2,1.000,1,2,3,2,0,0,2,1,6,-20
magloja01,6:39,0,0,,0,0,,0,2,.000,1,2,3,0,0,0,0,1,0,-4
boonejo01,5:19,0,3,.000,0,0,,0,2,.000,2,0,2,0,0,0,1,0,0,-5
Team Totals,240,24,72,.333,4,14,.286,17,32,.531,18,24,42,14,4,6,20,23,69,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
piercpa01,38:51,6,10,.600,1,2,.500,2,4,.500,0,3,3,3,2,1,2,3,15,+15
allenra02,38:41,4,14,.286,1,6,.167,5,5,1.000,2,3,5,6,4,0,2,1,14,+13
rondora01,30:52,6,9,.667,0,0,,1,2,.500,1,3,4,5,0,0,2,3,13,+16
garneke01,30:40,8,15,.533,0,0,,0,0,,2,6,8,2,3,1,2,5,16,+14
perkike01,29:41,3,6,.500,0,0,,4,4,1.000,1,7,8,2,1,4,1,3,10,+6
allento01,23:31,3,6,.500,0,1,.000,7,12,.583,1,2,3,2,1,0,3,3,13,+20
poseyja01,22:32,1,2,.500,1,2,.500,3,4,.750,1,4,5,0,3,0,0,3,6,+11
scalabr01,10:17,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+3
davisgl01,9:14,0,3,.000,0,0,,0,0,,1,2,3,0,0,1,1,4,0,+11
powele01,3:16,2,4,.500,0,0,,0,0,,1,0,1,0,1,0,1,3,4,+2
pruitga01,2:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,33,71,.465,3,12,.250,22,31,.710,10,32,42,21,15,7,14,28,91,
