Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hamilri01,39:06,6,15,.400,2,2,1.000,0,0,,0,3,3,3,0,0,1,1,14,-2
billuch01,36:34,6,17,.353,0,4,.000,3,5,.600,1,2,3,7,2,0,2,0,15,-2
princta01,35:43,2,5,.400,0,0,,0,0,,2,2,4,1,1,0,0,1,4,-12
wallara01,32:41,7,17,.412,2,6,.333,5,5,1.000,1,7,8,2,0,1,1,6,21,+1
mcdyean01,31:07,5,12,.417,0,1,.000,2,2,1.000,2,6,8,0,1,1,1,4,12,-13
maxieja01,32:11,3,7,.429,0,0,,3,6,.500,5,8,13,0,0,0,1,1,9,+6
hayesja01,12:18,0,4,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,+9
murraro01,11:26,1,5,.200,0,0,,0,4,.000,0,1,1,1,0,0,2,2,2,-1
afflaar01,8:54,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,1,1,0,-1
Team Totals,240,30,83,.361,4,15,.267,13,22,.591,12,32,44,15,4,2,9,18,77,
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mingya01,43:49,9,21,.429,0,0,,3,6,.500,2,11,13,3,1,4,1,2,21,+7
mcgratr01,41:33,13,25,.520,3,6,.500,0,5,.000,0,3,3,6,2,0,3,1,29,+5
hayesch01,41:27,2,7,.286,0,0,,0,0,,5,6,11,4,2,2,2,1,4,+13
battish01,36:05,1,3,.333,0,0,,0,0,,2,7,9,4,0,0,2,1,2,+5
alstora01,35:10,4,8,.500,2,6,.333,0,0,,0,3,3,6,1,2,1,2,10,+2
headlu01,19:18,2,4,.500,1,3,.333,1,2,.500,0,5,5,0,0,0,2,2,6,-1
wellsbo01,11:55,3,5,.600,0,0,,2,9,.222,1,2,3,1,0,0,0,3,8,-2
scolalu01,10:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,3,0,-14
Team Totals,240,34,74,.459,6,15,.400,6,22,.273,10,37,47,25,6,8,12,15,80,
