Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
dunlemi02,31:17,5,14,.357,4,7,.571,3,3,1.000,0,5,5,1,4,1,4,2,17,-11
owensan01,30:45,3,7,.429,2,3,.667,1,2,.500,1,1,2,2,0,0,0,3,9,-3
onealje01,30:39,6,14,.429,0,0,,1,2,.500,1,3,4,0,0,2,2,4,13,-25
murphtr01,29:44,2,8,.250,1,3,.333,2,2,1.000,2,12,14,4,1,1,3,4,7,-5
grangda01,23:45,6,14,.429,1,4,.250,1,2,.500,1,5,6,0,2,0,1,5,14,-9
daniema01,24:16,3,7,.429,0,0,,1,2,.500,1,1,2,2,2,0,3,2,7,-14
rushka01,21:34,5,12,.417,2,4,.500,0,0,,0,2,2,2,0,0,1,4,12,-19
fosteje01,17:49,3,4,.750,0,0,,0,0,,5,4,9,4,0,0,1,1,6,-4
harrida01,11:10,0,1,.000,0,0,,2,4,.500,1,1,2,0,0,0,2,2,2,+2
dienetr01,10:56,2,6,.333,1,4,.250,0,0,,1,3,4,4,0,0,4,1,5,-1
willish03,5:13,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+5
dioguik01,2:52,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+4
Team Totals,240,37,89,.416,11,25,.440,11,17,.647,13,37,50,19,9,4,22,29,96,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
odomla01,39:13,5,7,.714,1,2,.500,2,2,1.000,1,12,13,3,1,1,1,2,13,+27
bryanko01,35:43,8,21,.381,2,3,.667,8,8,1.000,0,2,2,6,3,0,4,3,26,+32
bynuman01,34:08,8,11,.727,0,0,,7,9,.778,3,10,13,2,0,4,3,3,23,+30
waltolu01,30:18,3,7,.429,2,2,1.000,2,4,.500,0,4,4,7,1,0,2,1,10,+23
fishede01,28:30,6,13,.462,3,5,.600,7,8,.875,0,4,4,5,1,0,1,1,22,+27
farmajo01,19:30,1,8,.125,0,3,.000,2,3,.667,0,2,2,1,3,0,1,3,4,-11
arizatr01,17:42,2,4,.500,2,2,1.000,0,0,,1,4,5,2,0,0,0,1,6,-7
brownkw01,13:28,3,5,.600,0,0,,2,4,.500,0,2,2,1,0,1,4,4,8,-12
crittja01,10:30,0,1,.000,0,0,,0,0,,0,0,0,0,2,0,3,0,0,-12
turiaro01,9:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-13
karlco01,1:48,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,-4
Team Totals,240,36,78,.462,10,18,.556,30,38,.789,5,41,46,28,12,6,19,20,112,
