Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
lewisra02,37:27,6,18,.333,2,7,.286,0,0,,4,3,7,3,2,0,1,3,14,-9
howardw01,37:27,3,5,.600,0,0,,5,11,.455,2,14,16,2,2,2,3,3,11,-9
turkohe01,36:28,7,15,.467,3,5,.600,1,1,1.000,1,1,2,3,1,1,4,4,18,0
evansma01,31:21,6,10,.600,2,4,.500,0,0,,0,3,3,1,2,0,1,4,14,-9
nelsoja01,25:34,7,12,.583,2,3,.667,0,0,,0,2,2,3,2,0,1,5,16,-7
boganke01,26:10,3,11,.273,1,8,.125,1,2,.500,1,1,2,4,1,0,1,2,8,-3
doolike01,22:26,3,10,.300,0,0,,3,4,.750,1,2,3,4,1,0,1,1,9,-1
cookbr01,12:34,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-3
foylead01,10:33,0,0,,0,0,,0,0,,0,0,0,1,1,2,0,0,0,+1
Team Totals,240,35,85,.412,10,29,.345,10,18,.556,9,27,36,21,12,5,12,24,90,
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
smithjo03,45:37,7,13,.538,1,3,.333,4,5,.800,0,9,9,2,1,2,3,3,19,+3
johnsjo02,45:29,12,20,.600,3,5,.600,7,7,1.000,2,3,5,7,3,1,2,2,34,+16
bibbymi01,43:18,7,21,.333,3,8,.375,3,4,.750,0,6,6,8,2,0,2,1,20,+10
horfoal01,35:14,4,7,.571,0,0,,3,3,1.000,5,5,10,3,1,1,2,3,11,+2
willima02,19:38,2,7,.286,0,0,,0,0,,1,2,3,4,0,0,2,4,4,-1
childjo01,33:16,3,3,1.000,0,0,,0,0,,1,7,8,2,0,2,2,1,6,+6
pachuza01,12:46,1,4,.250,0,1,.000,2,6,.333,0,3,3,0,0,0,4,2,4,+6
lawac01,4:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2
westma02,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,36,76,.474,7,17,.412,19,25,.760,9,35,44,26,7,6,18,16,98,
