Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bellra01,39:29,6,12,.500,5,8,.625,3,3,1.000,1,4,5,7,2,1,1,3,20,+14
nashst01,34:02,2,8,.250,0,2,.000,1,1,1.000,0,2,2,10,1,0,4,2,5,+13
stoudam01,30:48,9,16,.563,0,1,.000,4,4,1.000,3,4,7,2,0,5,2,5,22,+11
onealsh01,28:52,6,8,.750,0,0,,3,7,.429,3,10,13,1,0,1,0,3,15,+21
hillgr01,24:04,2,5,.400,0,1,.000,0,0,,1,3,4,1,1,1,3,3,4,-1
barbole01,31:32,5,12,.417,2,5,.400,5,7,.714,1,5,6,4,1,0,0,2,17,+13
diawbo01,28:14,8,11,.727,1,1,1.000,0,0,,2,0,2,7,0,0,4,6,17,+8
giricgo01,17:13,3,8,.375,1,2,.500,0,0,,0,0,0,1,0,0,0,1,7,+3
skinnbr01,2:53,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-6
strawdj01,2:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-6
Team Totals,240,41,80,.513,9,20,.450,16,22,.727,11,28,39,33,5,9,15,25,107,
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millean02,37:36,6,17,.353,0,1,.000,4,6,.667,1,2,3,10,0,0,1,4,16,-15
iguodan01,37:10,3,12,.250,0,1,.000,7,10,.700,2,4,6,4,1,0,3,4,13,-17
dalemsa01,36:11,2,6,.333,0,0,,2,2,1.000,8,7,15,1,1,2,4,4,6,-14
evansre01,26:32,5,10,.500,0,0,,0,0,,7,6,13,1,2,0,2,3,10,-7
greenwi01,19:07,2,8,.250,0,0,,5,5,1.000,0,2,2,2,0,1,0,3,9,-5
willilo02,26:41,6,13,.462,1,3,.333,2,3,.667,1,1,2,3,1,0,1,1,15,-7
carnero01,23:38,6,11,.545,0,3,.000,0,0,,1,1,2,0,0,2,1,0,12,-14
youngth01,12:39,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,4,4,+4
ollieke01,8:23,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+4
smithja02,8:19,1,4,.250,0,0,,2,4,.500,2,2,4,0,1,0,2,1,4,0
boothca01,2:22,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
randosh01,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+4
Team Totals,240,35,89,.393,1,8,.125,22,30,.733,22,27,49,21,6,6,14,25,93,
