Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
horfoal01,43:12,2,6,.333,0,0,,4,6,.667,1,11,12,2,0,5,1,1,8,+4
johnsjo02,42:31,9,25,.360,3,6,.500,4,6,.667,0,2,2,2,4,1,4,3,25,+5
willima02,38:28,5,11,.455,1,1,1.000,3,4,.750,1,6,7,0,2,0,3,2,14,+13
bibbymi01,34:32,4,9,.444,2,5,.400,3,5,.600,0,1,1,4,1,0,1,1,13,+4
pachuza01,9:18,2,4,.500,0,0,,2,2,1.000,3,2,5,0,0,0,1,3,6,+8
murraro01,26:53,5,14,.357,1,4,.250,3,4,.750,0,3,3,3,1,1,1,4,14,-2
jonesso01,22:13,1,4,.250,0,0,,3,4,.750,6,4,10,1,0,2,0,2,5,-4
evansma01,17:06,1,4,.250,0,1,.000,2,2,1.000,1,2,3,0,2,0,2,3,4,-5
lawac01,5:47,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-3
Team Totals,240,29,78,.372,7,17,.412,24,33,.727,12,32,44,13,10,9,13,21,89,
Oklahoma City Thunder
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duranke01,39:35,9,21,.429,0,0,,2,2,1.000,1,3,4,3,0,0,6,2,20,-9
greenje02,36:53,3,12,.250,1,4,.250,1,2,.500,1,7,8,3,1,0,2,6,8,-6
watsoea01,33:16,5,11,.455,1,2,.500,0,0,,0,4,4,6,1,0,2,1,11,-7
petrojo01,19:00,1,4,.250,0,0,,0,0,,2,3,5,0,1,0,0,3,2,-9
collini01,18:46,1,2,.500,0,0,,0,0,,1,4,5,0,0,0,1,2,2,-3
masonde01,26:58,4,11,.364,0,0,,1,3,.333,5,2,7,1,0,0,2,2,9,+3
smithjo02,26:15,3,10,.300,0,0,,8,10,.800,3,6,9,1,0,1,1,4,14,-1
westbru01,25:13,6,14,.429,0,2,.000,3,3,1.000,1,0,1,2,2,0,3,0,15,+7
swiftro01,8:16,1,1,1.000,0,0,,0,0,,0,3,3,0,0,1,0,2,2,+2
wilcoch01,5:38,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+3
wilkida02,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,34,87,.391,2,8,.250,15,20,.750,14,34,48,16,5,2,17,23,85,
