Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wadedw01,30:37,5,14,.357,0,1,.000,2,4,.500,1,5,6,6,5,0,3,2,12,-18
beaslmi01,29:55,7,18,.389,0,4,.000,0,0,,1,3,4,0,1,0,1,3,14,-11
chalmma01,29:09,3,10,.300,0,3,.000,2,2,1.000,0,1,1,3,0,0,2,3,8,-10
hasleud01,21:36,2,9,.222,0,0,,2,2,1.000,4,2,6,1,0,0,0,2,6,-24
diawaya01,19:56,2,5,.400,1,4,.250,0,0,,0,1,1,1,0,0,0,1,5,-22
blounma01,23:49,3,10,.300,1,2,.500,0,0,,1,1,2,1,0,1,0,1,7,-13
cookda02,23:11,0,8,.000,0,4,.000,0,0,,0,1,1,0,2,0,0,0,0,-25
banksma01,22:16,5,6,.833,0,1,.000,1,1,1.000,0,4,4,1,1,0,1,2,11,-11
anthojo01,20:40,1,2,.500,0,0,,1,1,1.000,3,0,3,0,0,3,1,3,3,-28
quinnch01,12:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-21
livinsh01,6:47,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Team Totals,240,29,84,.345,2,19,.105,8,10,.800,10,18,28,14,9,4,9,19,68,
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
roybr01,29:33,2,11,.182,0,4,.000,4,6,.667,4,3,7,6,0,0,1,0,8,+14
blakest01,25:56,2,8,.250,2,6,.333,2,2,1.000,0,1,1,3,1,0,4,2,8,+19
odengr01,25:38,4,6,.667,0,0,,2,2,1.000,4,6,10,0,0,1,1,4,10,+15
aldrila01,25:24,7,10,.700,0,0,,2,3,.667,2,5,7,1,0,3,1,1,16,+17
batumni01,22:16,6,9,.667,3,4,.750,0,0,,3,3,6,2,2,0,1,3,15,+22
fryech01,22:36,7,11,.636,2,3,.667,1,1,1.000,1,2,3,1,0,0,0,1,17,+21
outlatr01,21:34,5,8,.625,1,3,.333,4,4,1.000,0,2,2,3,0,1,2,1,15,+22
rodrise01,20:12,0,3,.000,0,2,.000,0,0,,1,2,3,11,0,0,1,3,0,+21
przybjo01,19:58,1,1,1.000,0,0,,2,2,1.000,1,8,9,0,1,4,2,1,4,+23
fernaru01,18:55,5,10,.500,3,4,.750,0,0,,2,1,3,3,1,0,2,0,13,+11
bayleje01,5:34,0,0,,0,0,,0,0,,1,3,4,1,0,0,1,0,0,+5
dioguik01,2:24,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,39,79,.494,11,26,.423,17,20,.850,19,36,55,31,5,9,16,16,106,
