Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hasleud01,41:50,7,15,.467,0,0,,4,4,1.000,3,3,6,1,0,3,1,5,18,-4
wadedw01,39:30,12,21,.571,2,7,.286,0,2,.000,1,5,6,11,3,1,4,3,26,-4
chalmma01,37:00,4,9,.444,3,7,.429,0,0,,0,5,5,5,2,0,0,3,11,-3
mariosh01,32:37,1,6,.167,0,1,.000,3,3,1.000,3,6,9,3,0,1,5,0,5,+3
anthojo01,19:35,0,1,.000,0,0,,0,0,,0,3,3,1,0,2,0,3,0,+2
beaslmi01,27:01,10,16,.625,3,4,.750,1,1,1.000,1,4,5,1,0,0,4,4,24,-3
cookda02,21:08,3,11,.273,1,4,.250,0,0,,0,0,0,3,0,0,0,1,7,+3
quinnch01,10:54,1,4,.250,1,2,.500,0,0,,0,2,2,1,0,0,0,3,3,-1
diawaya01,6:46,1,3,.333,0,2,.000,0,1,.000,0,0,0,0,0,0,0,1,2,+2
magloja01,3:39,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
Team Totals,240,39,86,.453,10,27,.370,8,11,.727,9,28,37,26,5,7,14,23,96,
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
thornal01,43:44,8,14,.571,0,0,,11,14,.786,4,4,8,3,3,1,2,2,27,+1
davisba01,43:27,6,21,.286,1,7,.143,2,6,.333,0,5,5,9,2,0,4,2,15,+8
randoza01,41:06,11,20,.550,1,2,.500,4,5,.800,6,7,13,3,0,0,2,3,27,+1
cambyma01,34:16,4,9,.444,0,0,,4,5,.800,2,10,12,3,1,4,1,2,12,+3
gordoer01,29:34,2,7,.286,1,2,.500,0,1,.000,0,1,1,2,1,0,2,4,5,-1
taylomi01,22:58,2,6,.333,1,2,.500,1,2,.500,0,0,0,2,0,0,2,2,6,-3
davispa01,11:14,2,3,.667,0,0,,1,2,.500,2,2,4,0,0,0,0,0,5,-7
collima01,5:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
novakst01,4:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
skinnbr01,3:39,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,0
Team Totals,240,35,82,.427,4,13,.308,23,35,.657,14,31,45,22,7,6,13,17,97,
