Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gordoer01,45:50,9,18,.500,1,4,.250,13,15,.867,1,2,3,6,0,0,5,6,32,-5
collima01,45:17,6,14,.429,2,3,.667,3,3,1.000,2,4,6,3,3,1,0,2,17,0
thornal01,40:44,9,24,.375,2,5,.400,5,6,.833,4,4,8,1,0,1,2,5,25,-6
cambyma01,39:43,2,5,.400,0,0,,6,10,.600,6,13,19,4,1,1,6,1,10,-5
skinnbr01,27:58,4,7,.571,0,0,,3,4,.750,0,5,5,1,0,2,0,3,11,+6
novakst01,24:48,2,5,.400,2,5,.400,0,0,,0,0,0,1,0,0,2,2,6,+1
jordade01,13:10,0,1,.000,0,0,,1,2,.500,2,4,6,0,0,0,1,2,1,-13
sambch01,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,32,74,.432,7,17,.412,31,40,.775,15,32,47,16,4,5,16,21,102,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
howarjo01,39:24,10,20,.500,1,5,.200,1,2,.500,0,6,6,2,1,1,0,3,22,+9
nowitdi01,38:32,13,23,.565,4,4,1.000,4,4,1.000,0,4,4,3,0,2,1,1,34,+9
kiddja01,34:48,1,6,.167,1,6,.167,0,0,,2,8,10,8,3,1,1,4,3,+5
dampier01,21:18,3,4,.750,0,0,,1,1,1.000,3,1,4,1,1,1,0,1,7,-4
wrighan01,14:24,4,9,.444,0,2,.000,2,3,.667,0,2,2,1,0,0,0,4,10,+4
terryja01,31:45,2,10,.200,1,8,.125,4,4,1.000,0,1,1,5,1,0,2,4,9,-5
bareajo01,24:51,2,7,.286,1,3,.333,0,0,,0,1,1,8,1,0,1,3,5,+7
bassbr01,24:03,4,5,.800,0,0,,5,5,1.000,1,5,6,1,0,1,3,4,13,+6
diopde01,5:41,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,1,2,0
singlja01,5:14,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,1,2,-6
georgde01,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Team Totals,240,41,87,.471,8,28,.286,17,19,.895,8,29,37,29,8,6,9,27,107,
