Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
foyera01,38:30,7,13,.538,4,7,.571,5,6,.833,0,1,1,3,1,1,1,4,23,+6
gomesry01,34:20,5,11,.455,2,4,.500,2,2,1.000,5,0,5,2,2,0,5,4,14,+11
telfase01,33:50,2,11,.182,1,5,.200,5,6,.833,2,1,3,9,3,0,2,4,10,+3
jeffeal01,33:10,8,15,.533,0,0,,3,4,.750,2,10,12,1,1,4,4,4,19,+11
smithcr01,21:04,7,8,.875,0,0,,1,2,.500,1,2,3,0,0,1,0,3,15,+12
millemi01,27:55,1,4,.250,0,2,.000,0,0,,0,4,4,3,1,1,0,2,2,-2
loveke01,20:15,3,5,.600,0,0,,0,0,,1,6,7,1,0,2,4,2,6,-5
carnero01,17:46,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,2,1,2,+4
cardibr01,13:11,1,3,.333,1,2,.500,0,0,,1,1,2,1,0,2,1,4,3,-5
Team Totals,240,35,74,.473,8,22,.364,16,20,.800,12,26,38,20,8,11,19,28,94,
Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mayooj01,40:28,7,18,.389,2,7,.286,4,4,1.000,2,6,8,5,2,0,1,2,20,+1
gayru01,37:22,6,14,.429,0,3,.000,0,0,,2,4,6,1,2,0,3,3,12,-9
gasolma01,29:59,6,10,.600,0,0,,1,1,1.000,2,2,4,2,1,2,4,3,13,-9
lowryky01,27:47,2,5,.400,0,1,.000,5,6,.833,1,1,2,5,1,2,2,2,9,-8
arthuda01,22:15,2,5,.400,0,0,,0,0,,2,1,3,0,1,1,2,3,4,-10
warriha01,36:47,7,16,.438,0,0,,8,10,.800,2,4,6,3,1,0,2,3,22,+3
conlemi01,20:06,0,3,.000,0,1,.000,3,4,.750,0,5,5,1,0,0,1,2,3,+3
rossqu01,14:13,2,4,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,1,4,-4
milesda01,7:23,0,2,.000,0,0,,0,0,,1,1,2,0,0,2,0,0,0,0
buckngr01,3:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Team Totals,240,32,77,.416,2,13,.154,21,25,.840,13,24,37,18,8,7,15,20,87,
