Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
richaja01,32:31,3,9,.333,2,3,.667,0,0,,1,5,6,1,2,1,1,0,8,-28
onealsh01,30:09,6,10,.600,0,0,,8,12,.667,0,7,7,0,1,1,2,3,20,-23
stoudam01,28:39,5,14,.357,0,0,,2,3,.667,6,3,9,0,0,3,6,3,12,-23
hillgr01,26:30,3,8,.375,1,1,1.000,0,0,,0,6,6,1,0,0,1,3,7,-23
nashst01,21:26,2,6,.333,0,2,.000,0,1,.000,0,0,0,5,1,0,6,2,4,-27
amundlo01,25:12,2,2,1.000,0,0,,2,4,.500,3,1,4,0,1,0,3,1,6,-2
barbole01,18:56,0,6,.000,0,2,.000,0,0,,1,0,1,3,1,0,2,4,0,-2
barnema02,13:29,1,5,.200,1,3,.333,0,0,,1,3,4,1,0,0,0,2,3,-10
dudleja01,12:00,2,4,.500,1,1,1.000,3,4,.750,2,2,4,0,1,0,0,1,8,+4
lopezro01,12:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,+4
tuckeal02,9:34,2,6,.333,1,2,.500,1,2,.500,1,0,1,0,0,0,0,0,6,+10
dragigo01,9:34,0,3,.000,0,0,,0,0,,1,1,2,4,2,0,3,0,0,+10
Team Totals,240,27,75,.360,6,14,.429,16,26,.615,16,28,44,16,9,5,24,20,76,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallage01,37:21,11,13,.846,3,3,1.000,3,5,.600,1,7,8,5,5,2,1,1,28,+28
feltora01,37:02,5,14,.357,0,2,.000,1,1,1.000,1,1,2,5,1,0,2,1,11,+35
bellra01,34:53,4,11,.364,1,6,.167,0,0,,1,4,5,8,2,0,2,1,9,+34
diawbo01,32:12,10,16,.625,3,4,.750,3,3,1.000,2,9,11,4,2,1,2,4,26,+33
okafoem01,18:12,2,6,.333,0,0,,1,1,1.000,1,7,8,0,0,1,2,4,5,+12
diopde01,14:34,0,1,.000,0,0,,0,2,.000,0,1,1,1,2,2,3,3,0,-3
brownsh01,13:07,2,2,1.000,0,0,,0,0,,0,0,0,1,1,0,3,2,4,-12
howarju01,12:05,4,5,.800,0,0,,0,0,,1,1,2,1,0,0,0,2,8,+11
singlse01,10:58,0,2,.000,0,0,,1,1,1.000,0,0,0,0,0,0,2,0,1,-13
morriad01,10:39,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-6
mohamna01,10:15,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,5,2,+3
ajincal01,8:42,1,3,.333,0,0,,2,2,1.000,0,2,2,1,0,0,0,1,4,-12
Team Totals,240,40,78,.513,7,15,.467,11,15,.733,9,32,41,26,13,6,18,26,98,
