Oklahoma City Thunder
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duranke01,45:44,10,23,.435,2,6,.333,24,26,.923,2,13,15,4,2,1,2,3,46,-7
greenje02,38:06,5,11,.455,1,2,.500,3,3,1.000,3,3,6,2,0,0,4,4,14,-4
westbru01,36:47,4,13,.308,1,2,.500,2,2,1.000,1,2,3,2,1,0,3,2,11,-11
collini01,34:59,2,5,.400,0,0,,0,2,.000,5,1,6,0,0,1,2,5,4,-2
masonde01,8:19,2,2,1.000,0,0,,0,0,,1,1,2,0,0,1,0,4,4,+3
watsoea01,35:21,3,8,.375,1,2,.500,4,6,.667,2,3,5,2,0,0,6,1,11,+3
weaveky01,22:54,3,6,.500,2,3,.667,0,0,,0,5,5,5,0,1,1,2,8,+4
krstine01,17:50,3,7,.429,0,0,,0,0,,3,3,6,2,0,0,0,3,6,-1
Team Totals,240,32,75,.427,7,15,.467,33,39,.846,17,31,48,17,3,4,18,24,104,
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
thornal01,46:40,13,28,.464,2,2,1.000,6,6,1.000,1,4,5,1,1,3,1,4,34,+7
gordoer01,43:37,12,19,.632,5,7,.714,12,14,.857,0,2,2,4,1,0,2,4,41,0
davisri01,30:00,0,6,.000,0,3,.000,1,2,.500,1,3,4,11,2,1,0,3,1,+8
jordade01,22:57,1,1,1.000,0,0,,1,2,.500,1,6,7,0,1,1,1,5,3,-1
collima01,4:17,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,+2
jonesfr01,34:53,5,7,.714,2,2,1.000,0,0,,1,3,4,7,0,0,1,5,12,+8
novakst01,22:49,4,8,.500,2,5,.400,0,0,,0,0,0,1,1,0,1,3,10,-6
sambch01,22:46,1,7,.143,0,0,,0,0,,4,4,8,0,1,3,0,3,2,+4
hartja01,12:01,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,2,2,-7
Team Totals,240,38,79,.481,11,19,.579,20,24,.833,8,23,31,25,9,8,7,29,107,
