Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
turkohe01,40:06,6,13,.462,1,4,.250,5,5,1.000,0,6,6,6,0,0,3,2,18,+1
howardw01,37:42,9,11,.818,0,0,,4,7,.571,0,10,10,0,0,3,2,5,22,+2
lewisra02,36:59,6,12,.500,3,6,.500,6,8,.750,3,5,8,2,0,1,2,3,21,-2
nelsoja01,34:49,4,11,.364,3,6,.500,5,6,.833,0,4,4,7,1,0,3,2,16,+4
leeco01,33:02,3,9,.333,1,4,.250,0,0,,0,5,5,2,0,0,1,2,7,+8
johnsan02,13:11,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,4,3,-10
redicjj01,11:09,1,3,.333,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,1,4,-8
gortama01,10:18,1,1,1.000,0,0,,0,0,,2,1,3,0,0,0,0,0,2,-8
cookbr01,8:21,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1
boganke01,7:23,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,2,2,-11
battito01,7:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-5
Team Totals,240,33,69,.478,9,25,.360,22,28,.786,5,36,41,17,1,4,14,24,97,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wadedw01,36:13,11,21,.524,0,1,.000,5,9,.556,0,8,8,6,0,1,0,2,27,+3
chalmma01,32:38,8,12,.667,1,3,.333,3,3,1.000,0,1,1,6,3,0,0,2,20,+1
hasleud01,31:41,5,8,.625,0,0,,2,2,1.000,0,4,4,0,0,0,1,3,12,0
diawaya01,24:02,1,4,.250,1,4,.250,0,0,,0,1,1,0,0,0,0,3,3,0
anthojo01,6:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
cookda02,30:02,3,8,.375,0,2,.000,2,3,.667,1,3,4,0,0,0,0,2,8,+8
magloja01,22:07,1,4,.250,0,0,,2,4,.500,3,4,7,1,0,0,1,3,4,+4
blounma01,19:19,3,8,.375,1,1,1.000,0,0,,0,1,1,1,0,0,2,2,7,+6
beaslmi01,16:19,1,6,.167,0,0,,8,8,1.000,1,4,5,1,0,0,0,3,10,+6
quinnch01,15:22,3,5,.600,2,2,1.000,2,3,.667,1,3,4,1,0,0,0,0,10,+5
jonesja02,5:43,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
Team Totals,240,37,78,.474,5,14,.357,24,32,.750,6,30,36,16,3,1,4,21,103,
