Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
daniema01,42:11,12,23,.522,1,5,.200,3,4,.750,4,1,5,1,2,0,3,2,28,+7
jackja01,41:15,11,19,.579,3,5,.600,8,11,.727,1,2,3,3,2,0,6,4,33,+2
murphtr01,34:34,8,16,.500,1,6,.167,2,3,.667,3,18,21,4,0,0,2,5,19,+1
rushbr01,33:26,5,15,.333,1,4,.250,3,4,.750,1,4,5,3,0,1,0,1,14,-15
hibbero01,15:45,1,5,.200,0,0,,4,6,.667,1,4,5,2,0,1,1,6,6,+9
fosteje01,27:49,1,2,.500,0,0,,1,2,.500,1,5,6,1,1,0,5,5,3,-10
dienetr01,21:14,2,4,.500,2,4,.500,2,2,1.000,0,2,2,1,1,0,0,3,8,-2
grahast01,12:36,0,5,.000,0,2,.000,2,2,1.000,0,3,3,1,1,0,1,2,2,-8
nestera01,6:10,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,0,1,4,+1
bastoma01,5:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,1,2,-5
Team Totals,240,43,94,.457,8,26,.308,25,34,.735,13,41,54,16,7,2,19,30,119,
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
chandwi01,38:29,4,18,.222,1,6,.167,6,7,.857,3,3,6,3,0,2,0,2,15,-1
harrial01,37:47,10,20,.500,3,10,.300,4,5,.800,0,7,7,0,1,0,0,4,27,+1
leeda02,36:25,8,17,.471,0,0,,4,8,.500,4,9,13,3,0,0,0,4,20,+10
duhonch01,35:37,2,5,.400,0,2,.000,0,0,,0,3,3,5,0,0,6,0,4,+3
jeffrja01,22:07,3,5,.600,0,0,,0,2,.000,3,2,5,0,0,1,1,3,6,+4
robinna01,35:57,11,18,.611,4,6,.667,15,19,.789,4,4,8,3,2,0,1,3,41,+7
hughela01,15:05,2,7,.286,1,2,.500,0,0,,0,2,2,0,2,0,2,3,5,-2
wilcoch01,11:35,2,3,.667,0,0,,1,3,.333,3,1,4,1,1,0,1,2,5,-6
gallida01,6:58,0,3,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,2,0,+4
Team Totals,240,42,96,.438,9,28,.321,30,44,.682,17,34,51,15,6,3,11,23,123,
