Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
smithjr01,40:13,9,19,.474,2,8,.250,7,10,.700,1,3,4,5,1,0,2,5,27,+4
billuch01,39:03,5,17,.294,2,6,.333,0,0,,1,2,3,2,0,0,1,5,12,-14
hilarne01,38:27,2,7,.286,0,0,,6,7,.857,0,4,4,1,1,0,2,3,10,-5
anthoca01,31:28,7,16,.438,1,2,.500,5,8,.625,0,5,5,2,1,0,6,5,20,+10
petrojo01,10:38,0,2,.000,0,0,,0,0,,1,2,3,0,0,1,1,3,0,-6
kleizli01,28:46,2,6,.333,1,3,.333,1,2,.500,0,4,4,0,1,1,1,4,6,-4
balkmre01,22:43,3,6,.500,0,0,,3,6,.500,6,8,14,0,0,0,0,2,9,-9
anderch01,21:01,1,2,.500,0,0,,2,2,1.000,3,2,5,1,2,2,0,4,4,-1
jonesda02,7:41,1,1,1.000,0,0,,1,1,1.000,1,0,1,0,0,1,0,1,3,-5
Team Totals,240,30,76,.395,6,19,.316,25,36,.694,13,30,43,11,6,5,13,32,91,
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willide01,42:36,8,14,.571,0,3,.000,9,11,.818,0,4,4,11,0,2,6,2,25,+6
okurme01,39:20,3,12,.250,1,5,.200,5,6,.833,1,5,6,3,1,1,2,5,12,+8
brewero02,36:26,4,9,.444,0,0,,8,9,.889,0,2,2,1,3,0,0,2,16,+6
boozeca01,34:40,4,12,.333,0,0,,1,2,.500,5,11,16,1,2,0,1,4,9,+5
milescj01,21:46,3,6,.500,2,4,.500,2,2,1.000,0,4,4,0,0,0,1,3,10,+8
kirilan01,24:31,3,8,.375,1,1,1.000,2,3,.667,2,0,2,2,0,1,1,3,9,0
millspa01,15:54,4,8,.500,0,0,,1,4,.250,6,2,8,0,0,0,1,5,9,+4
korveky01,13:48,3,4,.750,1,1,1.000,0,0,,0,0,0,1,0,1,0,1,7,-2
harprma01,5:35,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-5
knighbr01,4:45,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,-2
pricero01,0:39,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+2
Team Totals,240,32,75,.427,5,14,.357,28,37,.757,14,30,44,22,7,5,14,26,97,
